Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.358,909.88159,981.29272,1754.45557,1889.19067,-0.0553,-0.06287,0.99661,-2.31,0.473,-0.438,6257,54701,76912
0.358,909.8053,981.29272,1755.44739,1888.8092,-0.05506,-0.05969,0.99905,-2.1,0.788,-0.473,6258,54700,76910
0.358,909.8053,981.29272,1754.22668,1889.26697,-0.05506,-0.05969,0.99905,-2.1,0.788,-0.473,6258,54700,76910
0.358,909.8053,981.29272,1754.83704,1889.19067,-0.05799,-0.05884,0.99759,-2.643,0.963,-0.455,6257,54703,76915
0.358,909.8053,981.29272,1754.53186,1889.11438,-0.05847,-0.06079,0.99661,-2.835,0.998,-0.63,6257,54703,76915
0.358,909.8053,981.29272,1754.53186,1889.26697,-0.05676,-0.06238,0.99942,-2.59,0.84,-0.385,6259,54698,76916
0.358,909.8053,981.29272,1754.83704,1889.19067,-0.05689,-0.06177,0.99832,-2.59,0.91,-0.42,6259,54698,76916
0.358,909.8053,981.29272,1754.60815,1888.8092,-0.05676,-0.06055,0.99722,-2.678,0.945,-0.613,6259,54700,76918
0.358,909.8053,981.29272,1754.68445,1889.26697,-0.05481,-0.06507,0.99722,-2.468,0.718,-0.595,6259,54700,76918
0.358,909.8053,981.29272,1754.83704,1889.19067,-0.05603,-0.06336,0.99783,-2.38,0.735,-0.385,6260,54704,76917
0.358,909.8053,981.29272,1754.68445,1889.11438,-0.05603,-0.06311,0.99832,-2.328,0.77,-0.543,6260,54704,76917
0.358,909.8053,981.29272,1754.68445,1889.19067,-0.05799,-0.06043,0.99893,-2.1,0.77,-0.438,6261,54698,76913
0.358,909.8053,981.29272,1754.45557,1889.19067,-0.05908,-0.06067,0.99918,-2.135,0.893,-0.403,6261,54698,76913
0.358,909.8053,981.29272,1754.76074,1888.73291,-0.0575,-0.06116,0.99881,-2.1,0.735,-0.473,6262,54705,76920
0.358,909.8053,981.29272,1754.76074,1889.11438,-0.05811,-0.05908,0.99869,-2.17,0.788,-0.63,6262,54705,76920
0.358,909.8053,981.29272,1754.98962,1889.11438,-0.05701,-0.05957,0.99661,-2.363,0.788,-0.525,6261,54708,76922
0.358,909.8053,981.29272,1754.98962,1889.26697,-0.05835,-0.06153,0.99832,-2.328,0.753,-0.42,6261,54708,76922
