Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.214,874.25232,957.33643,1686.78284,1843.71948,-0.068,-0.05725,0.99905,-0.858,0.438,-0.053,6365,55168,79970
0.214,874.25232,957.33643,1686.55396,1843.87207,-0.06738,-0.05762,0.99869,-1.19,0.368,-0.193,6365,55168,79970
0.214,874.25232,957.33643,1686.85913,1843.4906,-0.06702,-0.05872,0.99734,-1.453,0.228,-0.14,6369,55168,79968
0.214,874.25232,957.33643,1687.01172,1843.4906,-0.06555,-0.06018,0.99637,-1.313,0.263,0.018,6369,55168,79968
0.214,874.25232,957.33643,1686.78284,1843.64319,-0.06494,-0.05994,0.99759,-1.243,0.333,-0.07,6370,55169,79976
0.214,874.25232,957.33643,1686.63025,1843.64319,-0.06433,-0.05994,0.99869,-1.243,0.21,-0.105,6370,55169,79976
0.214,874.25232,957.33643,1687.08801,1843.71948,-0.0636,-0.06006,0.99832,-0.945,0.21,-0.105,6374,55168,79980
0.214,874.25232,957.33643,1686.85913,1844.25354,-0.06409,-0.05823,0.99991,-0.875,0.228,0.035,6374,55168,79980
0.214,874.25232,957.33643,1686.93542,1844.02466,-0.0647,-0.05579,0.99991,-0.683,0.315,-0.21,6378,55169,79981
0.214,874.25232,957.33643,1687.77466,1843.94836,-0.06348,-0.05554,0.99832,-0.49,0.298,-0.07,6378,55169,79981
0.214,874.25232,957.41272,1686.93542,1844.02466,-0.06458,-0.0564,0.99722,-1.12,0.333,0.0,6379,55171,79985
0.214,874.25232,957.41272,1686.70654,1844.10095,-0.06519,-0.05762,0.99832,-1.418,0.35,-0.088,6379,55171,79985
0.214,874.25232,957.41272,1687.01172,1844.02466,-0.06555,-0.05896,0.99686,-1.47,0.42,0.053,6383,55171,79993
0.214,874.25232,957.41272,1686.78284,1843.94836,-0.06421,-0.05884,0.99881,-1.4,0.385,0.053,6383,55171,79993
0.214,874.25232,957.41272,1686.78284,1844.02466,-0.06507,-0.05945,0.99942,-1.278,0.35,0.0,6386,55171,79995
0.214,874.40491,957.41272,1687.01172,1843.87207,-0.06568,-0.06055,0.99942,-0.963,0.438,0.088,6386,55171,79995
0.214,874.40491,957.41272,1686.55396,1843.87207,-0.06482,-0.05737,0.99698,-0.805,0.28,-0.018,6387,55173,79997
0.214,874.40491,957.41272,1686.55396,1844.17725,-0.06629,-0.05432,0.9971,-0.875,0.368,-0.21,6387,55173,79997
