Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
1.306,915.45105,985.3363,1764.75525,1896.59119,-0.08081,-0.12525,0.99258,-4.358,0.49,-0.648,6373,54818,77353
1.306,915.45105,985.3363,1764.83154,1896.51489,-0.07715,-0.12867,0.99344,-3.71,-0.298,-0.403,6373,54818,77353
1.306,915.45105,985.3363,1764.75525,1896.4386,-0.07044,-0.12854,0.99503,-3.15,-0.7,-0.56,6370,54819,77348
1.306,915.45105,985.4126,1764.60266,1896.51489,-0.05908,-0.12159,0.99588,-1.75,-0.56,-0.7,6374,54819,77344
1.306,915.45105,985.4126,1765.06042,1896.51489,-0.05383,-0.11487,0.99734,-1.785,-0.088,-0.648,6374,54819,77344
1.306,915.45105,985.4126,1764.67896,1896.66748,-0.0542,-0.11194,0.99954,-2.573,0.805,-0.613,6374,54819,77344
1.306,915.45105,985.4126,1764.83154,1896.51489,-0.05518,-0.11011,0.99954,-3.36,1.61,-0.753,6373,54818,77342
1.306,915.45105,985.4126,1765.3656,1896.3623,-0.05811,-0.11084,0.99612,-4.095,2.31,-0.98,6373,54818,77342
1.306,915.29846,985.4126,1764.75525,1896.51489,-0.068,-0.11866,0.99722,-5.513,3.168,-1.173,6376,54821,77344
1.306,915.29846,985.4126,1764.45007,1896.51489,-0.07349,-0.11646,0.99661,-5.53,3.273,-1.278,6376,54821,77344
1.306,915.29846,985.4126,1764.98413,1896.4386,-0.0813,-0.11744,0.99063,-5.898,3.063,-1.243,6376,54818,77354
1.306,915.29846,985.4126,1764.60266,1896.51489,-0.08435,-0.12378,0.98917,-6.125,2.205,-1.225,6376,54818,77354
1.306,915.29846,985.4126,1764.67896,1896.51489,-0.08509,-0.12293,0.99283,-5.898,1.47,-1.348,6377,54821,77354
1.306,915.29846,985.10742,1765.13672,1896.4386,-0.08472,-0.13294,0.99161,-5.723,0.525,-0.735,6377,54820,77355
1.306,915.29846,985.10742,1764.45007,1896.66748,-0.07886,-0.13733,0.99722,-4.9,-0.473,-0.508,6377,54820,77355
1.306,915.29846,985.10742,1764.67896,1896.51489,-0.07239,-0.1366,0.996,-3.833,-0.84,-0.298,6377,54820,77355
1.306,915.29846,985.10742,1765.13672,1896.51489,-0.07093,-0.12976,0.99576,-3.028,-0.91,-0.42,6381,54822,77361
1.306,915.29846,985.10742,1764.60266,1896.4386,-0.06653,-0.12732,0.9938,-2.538,-0.91,-0.368,6381,54822,77361
1.306,915.22217,985.10742,1764.83154,1896.59119,-0.06421,-0.12183,0.99393,-2.468,-0.543,-0.613,6380,54818,77355
1.306,915.22217,985.10742,1764.83154,1896.28601,-0.06421,-0.12183,0.99393,-2.468,-0.543,-0.613,6380,54818,77355
1.306,915.22217,985.10742,1764.67896,1896.59119,-0.06738,-0.12574,0.99539,-2.8,0.035,-0.7,6383,54821,77354
1.306,915.22217,985.10742,1764.52637,1896.59119,-0.06824,-0.12574,0.99429,-2.818,0.298,-0.858,6383,54821,77354
1.306,915.22217,985.10742,1765.28931,1896.59119,-0.068,-0.12769,0.99454,-2.643,0.403,-1.103,6385,54821,77357
1.306,915.22217,985.48889,1764.67896,1896.66748,-0.06775,-0.12622,0.99576,-2.485,0.385,-0.91,6385,54816,77358
1.306,915.22217,985.48889,1764.45007,1896.51489,-0.06616,-0.12683,0.99576,-2.275,0.543,-0.928,6385,54816,77358
1.306,915.22217,985.48889,1765.21301,1896.20972,-0.06677,-0.1222,0.99539,-2.223,0.77,-1.155,6385,54816,77358
1.306,915.22217,985.48889,1764.67896,1896.51489,-0.06616,-0.12244,0.99551,-2.538,0.928,-1.278,6386,54824,77365
1.306,915.22217,985.48889,1764.75525,1896.74377,-0.068,-0.12122,0.9938,-2.853,1.103,-1.068,6386,54824,77365
1.306,915.67993,985.48889,1765.06042,1896.51489,-0.06861,-0.12293,0.99307,-2.94,1.348,-1.138,6388,54825,77365
