Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.929,889.35852,964.05029,1716.76636,1857.2998,-0.06787,-0.11499,0.99161,-1.418,0.578,-0.193,5820,54073,75648
0.929,889.51111,964.05029,1716.99524,1857.14722,-0.06629,-0.11634,0.98831,-1.873,0.438,-0.14,5821,54070,75644
0.929,889.51111,964.05029,1716.46118,1857.3761,-0.06201,-0.1178,0.98843,-2.188,0.14,0.07,5821,54070,75644
0.929,889.51111,964.05029,1716.76636,1857.3761,-0.05774,-0.12037,0.98978,-2.24,0.088,0.018,5820,54070,75630
0.929,889.51111,964.05029,1717.07153,1857.3761,-0.05921,-0.12281,0.996,-1.943,0.543,0.105,5820,54070,75630
0.929,889.51111,964.05029,1716.69006,1857.22351,-0.06153,-0.12183,0.996,-1.645,0.56,0.0,5816,54068,75622
0.929,889.51111,963.974,1716.76636,1857.2998,-0.06006,-0.12146,0.99234,-1.453,0.473,-0.368,5816,54068,75622
0.929,889.51111,963.974,1716.99524,1857.22351,-0.06091,-0.11939,0.99319,-1.418,0.368,-0.368,5810,54063,75616
0.929,889.51111,963.974,1716.69006,1857.22351,-0.06189,-0.11707,0.99307,-1.47,0.175,-0.455,5810,54063,75616
0.929,889.51111,963.974,1716.84265,1857.07092,-0.06409,-0.11866,0.99149,-1.61,0.368,-0.368,5805,54061,75611
0.929,889.51111,963.974,1717.14783,1856.91833,-0.06726,-0.11695,0.99405,-1.558,0.438,-0.42,5805,54061,75611
0.929,889.35852,963.974,1716.76636,1857.22351,-0.0647,-0.11792,0.99136,-1.54,0.21,-0.455,5800,54059,75609
0.929,889.35852,963.974,1716.46118,1857.2998,-0.06458,-0.11768,0.99039,-1.61,0.193,-0.49,5800,54059,75609
0.929,889.35852,963.974,1716.91895,1857.22351,-0.06323,-0.1178,0.99039,-1.593,0.263,-0.385,5796,54057,75607
0.929,889.35852,963.974,1716.84265,1857.22351,-0.06275,-0.11744,0.99258,-1.54,0.21,-0.403,5796,54057,75607
0.929,889.35852,963.974,1716.84265,1857.07092,-0.06323,-0.11939,0.99075,-1.61,0.438,-0.49,5796,54057,75607
0.929,889.35852,963.89771,1716.76636,1857.22351,-0.06336,-0.12012,0.99271,-1.663,0.298,-0.595,5791,54056,75606
0.929,889.35852,963.89771,1716.53748,1857.2998,-0.06091,-0.12037,0.99222,-1.488,0.385,-0.613,5791,54056,75606
0.929,889.35852,963.89771,1716.99524,1857.22351,-0.05994,-0.11927,0.99295,-1.313,0.21,-0.63,5792,54053,75609
0.929,889.35852,963.89771,1717.14783,1857.2998,-0.05725,-0.11939,0.99087,-1.418,0.245,-0.7,5792,54053,75609
0.929,889.35852,963.89771,1716.91895,1857.2998,-0.05835,-0.11463,0.99527,-1.488,0.315,-0.56,5789,54052,75603
0.929,889.43481,963.89771,1716.99524,1857.45239,-0.05969,-0.11524,0.99429,-1.33,0.438,-0.35,5789,54049,75607
0.929,889.43481,963.89771,1716.84265,1857.3761,-0.06189,-0.11402,0.99368,-1.365,0.49,-0.333,5789,54049,75607
0.929,889.43481,963.89771,1716.84265,1857.2998,-0.06153,-0.1117,0.99112,-1.26,0.42,-0.368,5789,54049,75607
0.929,889.43481,963.89771,1716.84265,1857.2998,-0.05945,-0.11182,0.98843,-1.575,0.473,-0.508,5787,54050,75610
0.929,889.43481,963.89771,1717.22412,1857.2998,-0.05982,-0.11646,0.99014,-2.135,0.613,-0.175,5787,54050,75610
0.929,889.43481,963.974,1716.91895,1857.22351,-0.06287,-0.11878,0.99307,-2.433,0.753,-0.14,5787,54050,75605
0.929,889.43481,963.974,1716.46118,1857.2998,-0.06128,-0.12012,0.99246,-2.205,0.805,-0.193,5787,54050,75605
0.929,889.43481,963.974,1716.91895,1857.2998,-0.06165,-0.11914,0.99319,-2.065,0.753,-0.14,5787,54050,75606
0.929,889.43481,963.974,1716.76636,1857.2998,-0.06189,-0.11792,0.99344,-1.838,0.683,-0.053,5787,54050,75606
0.929,889.43481,963.974,1716.76636,1857.22351,-0.06067,-0.11524,0.99442,-1.733,0.753,-0.123,5787,54048,75606
0.929,889.51111,963.974,1717.07153,1857.2998,-0.0636,-0.11548,0.9971,-1.593,0.875,-0.123,5786,54050,75612
0.929,889.51111,963.974,1716.38489,1857.2998,-0.06372,-0.11768,0.99332,-1.768,0.718,-0.123,5786,54050,75612
0.929,889.51111,963.974,1716.69006,1857.2998,-0.0658,-0.1178,0.99185,-1.908,0.7,-0.14,5786,54050,75612
0.929,889.51111,963.974,1716.99524,1857.22351,-0.06677,-0.1189,0.98807,-2.048,0.63,-0.193,5787,54048,75608
0.929,889.51111,963.974,1716.84265,1857.45239,-0.0658,-0.12012,0.98721,-2.258,0.508,-0.158,5787,54048,75608
0.929,889.51111,963.974,1716.91895,1857.2998,-0.0647,-0.12171,0.99173,-1.943,0.543,-0.175,5789,54048,75612
0.929,889.51111,963.974,1716.99524,1857.22351,-0.06604,-0.11914,1.00003,-1.873,0.613,-0.07,5789,54048,75612
0.929,889.51111,963.974,1716.76636,1857.22351,-0.06482,-0.12085,0.9982,-1.715,0.543,-0.193,5788,54051,75613
0.929,889.51111,963.974,1716.84265,1857.3761,-0.06299,-0.12305,0.99759,-1.645,0.333,-0.543,5788,54051,75613
