Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.154,881.50024,976.94397,1701.88904,1882.01904,-0.07276,0.06287,0.99185,-0.525,0.263,-0.28,5959,51638,74707
0.154,881.50024,976.94397,1702.11792,1881.94275,-0.07349,0.06275,0.99368,-0.893,0.21,-0.21,5959,51638,74707
0.154,881.50024,976.94397,1701.88904,1881.86646,-0.07324,0.05969,0.99429,-0.945,0.245,-0.035,5962,51644,74711
0.154,881.50024,976.94397,1702.04163,1882.17163,-0.07044,0.0586,0.99393,-0.823,0.21,-0.175,5962,51644,74711
0.154,881.72913,976.94397,1702.04163,1882.17163,-0.07007,0.06189,0.99258,-0.455,0.263,-0.053,5960,51642,74718
0.154,881.72913,976.94397,1701.73645,1881.94275,-0.07056,0.06348,0.99271,-0.753,0.263,-0.193,5960,51642,74718
0.154,881.72913,976.94397,1702.04163,1882.01904,-0.07129,0.06116,0.99197,-0.805,0.385,-0.035,5962,51646,74722
0.154,881.72913,976.94397,1702.11792,1882.17163,-0.073,0.06091,0.9921,-0.875,0.315,-0.088,5962,51646,74722
0.154,881.72913,976.94397,1701.96533,1882.01904,-0.07288,0.06079,0.99295,-0.98,0.315,-0.21,5968,51648,74724
0.154,881.72913,976.79138,1702.04163,1881.94275,-0.07483,0.06006,0.9938,-0.858,0.263,-0.438,5970,51652,74730
0.154,881.72913,976.79138,1701.81274,1882.09534,-0.07324,0.0575,0.99295,-0.98,0.333,-0.315,5970,51652,74730
0.154,881.72913,976.79138,1701.96533,1882.09534,-0.07068,0.05737,0.99124,-0.7,0.263,-0.385,5970,51652,74730
0.154,881.72913,976.79138,1702.04163,1882.01904,-0.07056,0.06153,0.99246,-0.438,0.263,-0.193,5975,51650,74733
0.154,881.72913,976.79138,1701.96533,1882.32422,-0.07105,0.06433,0.99539,-0.403,0.403,-0.228,5975,51650,74733
0.154,881.65283,976.79138,1702.04163,1881.86646,-0.07642,0.05945,0.99063,-0.525,0.35,-0.385,5973,51651,74738
0.154,881.65283,976.79138,1701.81274,1882.09534,-0.0741,0.06006,0.98819,-0.595,0.175,-0.63,5973,51651,74738
0.154,881.65283,976.79138,1701.96533,1882.17163,-0.073,0.06238,0.9888,-0.508,0.053,-0.385,5974,51653,74738
0.154,881.65283,976.79138,1702.11792,1882.09534,-0.06922,0.06482,0.9899,-0.7,0.14,-0.245,5974,51653,74738
0.154,881.65283,976.79138,1702.11792,1882.17163,-0.06824,0.06824,0.99258,-0.875,0.14,-0.175,5977,51653,74745
0.154,881.65283,976.94397,1702.27051,1881.94275,-0.06848,0.06677,0.99844,-1.278,0.193,-0.018,5977,51653,74745
0.154,881.65283,976.94397,1701.88904,1882.17163,-0.07202,0.06006,0.99722,-1.453,0.263,0.105,5983,51654,74748
0.154,881.65283,976.94397,1701.96533,1882.09534,-0.07483,0.05603,0.99673,-1.33,0.228,-0.123,5983,51654,74748
0.154,881.65283,976.94397,1702.04163,1882.09534,-0.07569,0.05274,0.99283,-0.91,0.35,-0.368,5981,51655,74755
0.154,881.65283,976.94397,1701.88904,1882.09534,-0.07849,0.05567,0.99222,-0.438,0.14,-0.193,5981,51655,74755
0.154,881.65283,976.94397,1701.96533,1882.09534,-0.07117,0.06372,0.98978,0.0,0.018,0.298,5982,51657,74749
0.154,881.65283,976.94397,1701.81274,1881.94275,-0.07019,0.06665,0.99246,-0.28,-0.035,0.14,5982,51657,74749
0.154,881.65283,976.94397,1701.96533,1882.01904,-0.06995,0.06665,0.99417,-0.718,0.123,-0.123,5980,51652,74732
0.154,881.65283,976.94397,1701.81274,1881.94275,-0.07105,0.06299,0.9938,-1.173,0.193,-0.14,5980,51652,74732
0.154,881.65283,976.94397,1701.96533,1881.94275,-0.06946,0.0564,0.99222,-1.348,0.21,0.158,5975,51648,74714
0.154,881.65283,976.94397,1701.81274,1882.01904,-0.0708,0.05676,0.99063,-0.788,0.228,-0.193,5975,51648,74714
0.154,881.65283,976.94397,1701.88904,1881.63757,-0.07251,0.05982,0.9899,-0.63,0.228,-0.228,5966,51646,74702
0.154,881.65283,976.94397,1701.96533,1881.94275,-0.07239,0.06323,0.99087,-0.735,0.175,-0.088,5966,51646,74702
0.154,881.65283,976.94397,1701.96533,1881.79016,-0.07227,0.06275,0.99173,-0.893,0.228,0.053,5959,51645,74688
0.154,881.65283,976.94397,1702.49939,1881.79016,-0.07263,0.0625,0.99368,-1.05,0.21,-0.018,5959,51645,74688
0.154,881.72913,976.94397,1702.04163,1881.86646,-0.07508,0.05725,0.99637,-1.225,0.228,-0.035,5950,51641,74673
0.154,881.72913,976.94397,1701.73645,1881.86646,-0.07459,0.05603,0.99637,-1.225,0.228,-0.28,5950,51641,74673
0.154,881.72913,976.94397,1702.11792,1881.94275,-0.07556,0.05664,0.99234,-0.56,0.28,-0.228,5943,51637,74665
0.154,881.72913,976.94397,1702.11792,1881.86646,-0.07312,0.0586,0.99002,-0.333,0.193,-0.42,5943,51637,74665
0.154,881.72913,976.94397,1702.04163,1881.94275,-0.07324,0.06238,0.99234,-0.385,0.193,-0.385,5939,51636,74658
0.154,881.72913,977.02026,1702.11792,1881.94275,-0.07154,0.06348,0.99185,-0.49,0.193,-0.14,5939,51636,74658
0.154,881.72913,977.02026,1701.96533,1881.94275,-0.07227,0.06311,0.99332,-0.683,0.21,-0.053,5934,51634,74653
0.154,881.72913,977.02026,1702.11792,1882.17163,-0.07044,0.05908,0.99087,-1.12,0.28,-0.21,5934,51634,74653
0.154,881.72913,977.02026,1701.96533,1882.01904,-0.07178,0.05884,0.99161,-1.103,0.368,-0.21,5929,51629,74649
0.154,881.72913,977.02026,1702.04163,1882.09534,-0.07239,0.05994,0.99319,-0.998,0.403,-0.228,5929,51629,74649
0.154,881.65283,977.02026,1702.11792,1881.86646,-0.07141,0.06116,0.99283,-0.858,0.263,-0.42,5930,51630,74645
0.154,881.65283,977.02026,1701.73645,1881.94275,-0.07068,0.06201,0.99405,-0.77,0.21,-0.385,5930,51630,74645
0.154,881.65283,977.02026,1701.96533,1882.01904,-0.07373,0.06287,0.99405,-0.91,0.28,-0.315,5926,51629,74645
0.154,881.65283,977.02026,1702.04163,1882.01904,-0.07471,0.06165,0.99307,-0.63,0.14,-0.158,5926,51629,74645
0.154,881.65283,977.02026,1702.04163,1882.01904,-0.07227,0.06165,0.99026,-0.473,0.333,-0.175,5926,51628,74650
0.154,881.65283,976.79138,1702.27051,1882.01904,-0.07471,0.06287,0.99173,-0.508,0.368,0.018,5926,51628,74650
0.154,881.65283,976.79138,1701.81274,1882.01904,-0.07459,0.06433,0.99258,-0.788,0.35,-0.175,5927,51632,74656
0.154,881.65283,976.79138,1702.04163,1881.94275,-0.07422,0.0586,0.99515,-0.98,0.193,-0.28,5927,51632,74656
0.154,881.65283,976.79138,1702.04163,1881.86646,-0.07117,0.05872,0.99197,-0.875,0.14,-0.158,5927,51630,74660
0.154,881.65283,976.79138,1701.88904,1882.17163,-0.06909,0.05884,0.99234,-0.613,0.088,-0.21,5927,51630,74660
0.154,881.72913,976.79138,1702.04163,1882.01904,-0.06897,0.06018,0.99332,-0.595,0.298,-0.298,5927,51631,74659
0.154,881.72913,976.79138,1701.73645,1882.01904,-0.07166,0.06153,0.99417,-0.823,0.298,-0.368,5927,51631,74659
0.154,881.72913,976.79138,1702.04163,1881.86646,-0.0719,0.06006,0.99149,-0.735,0.21,-0.123,5932,51632,74660
0.154,881.72913,976.79138,1702.04163,1881.86646,-0.07227,0.06275,0.9921,-0.613,0.263,0.105,5932,51632,74660
0.154,881.72913,976.79138,1702.11792,1881.86646,-0.07227,0.06409,0.99112,-0.683,0.333,0.07,5928,51632,74663
0.154,881.72913,976.79138,1701.96533,1881.79016,-0.07105,0.06458,0.98941,-0.648,0.28,-0.105,5928,51632,74663
0.154,881.72913,976.79138,1701.96533,1881.86646,-0.07227,0.06568,0.99161,-0.98,0.21,-0.245,5926,51633,74665
0.154,881.72913,976.79138,1702.11792,1882.17163,-0.073,0.06409,0.99234,-1.173,0.228,0.158,5926,51633,74665
0.154,881.72913,976.79138,1702.04163,1881.71387,-0.07337,0.05921,0.99576,-1.47,0.228,0.07,5930,51638,74666
0.154,881.72913,976.79138,1701.96533,1881.94275,-0.07154,0.0575,0.99454,-1.243,0.105,0.123,5930,51638,74666
0.154,881.72913,976.79138,1702.19421,1881.79016,-0.07288,0.0575,0.99356,-1.015,0.245,0.07,5931,51639,74671
0.154,881.72913,976.79138,1701.66016,1881.63757,-0.07141,0.05872,0.991,-0.963,0.28,0.0,5931,51639,74671
0.154,881.72913,976.79138,1701.88904,1881.56128,-0.07251,0.06311,0.99258,-0.753,0.245,-0.088,5935,51635,74676
0.154,881.72913,976.79138,1702.11792,1881.94275,-0.07251,0.06336,0.99014,-1.243,0.228,0.07,5935,51635,74676
0.154,881.72913,976.79138,1701.96533,1882.01904,-0.07288,0.06104,0.99246,-1.19,0.193,0.018,5932,51637,74683
0.154,881.72913,976.94397,1702.11792,1881.71387,-0.0741,0.06018,0.99197,-1.243,0.298,-0.07,5932,51637,74683
0.154,881.72913,976.94397,1701.81274,1881.94275,-0.07434,0.06043,0.99454,-1.33,0.28,0.07,5934,51638,74687
0.154,881.72913,976.94397,1701.96533,1881.79016,-0.07422,0.05945,0.99442,-1.558,0.21,0.105,5934,51638,74687
0.154,881.72913,976.94397,1701.96533,1881.94275,-0.073,0.05725,0.9982,-1.085,0.228,0.42,5941,51639,74694
0.154,881.72913,976.94397,1702.11792,1882.09534,-0.07569,0.05969,0.99295,-0.63,0.298,0.018,5941,51639,74694
