path,ok,message
D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260621心率算法优化\figures\replay_motion_mae.png,True,ok
D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260621心率算法优化\figures\multi_kaihe1_hr_overlay.png,True,ok
D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260621心率算法优化\figures\multi_kaihe2_hr_overlay.png,True,ok
D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260621心率算法优化\figures\multi_bobi3_hr_overlay.png,True,ok
D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260621心率算法优化\figures\multi_tiaosheng1_hr_overlay.png,True,ok
D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260621心率算法优化\figures\multi_kaihe1_TS_hr_overlay.png,True,ok
D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260621心率算法优化\figures\multi_bobi1_TS_hr_overlay.png,True,ok
D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260621心率算法优化\figures\multi_kaihe1_klms_hr_overlay.png,True,ok
D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260621心率算法优化\figures\multi_kaihe1_TS_klms_hr_overlay.png,True,ok
D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260621心率算法优化\figures\multi_bobi1_TS_klms_hr_overlay.png,True,ok
