role,cohort,case_id,report_name,variant,adaptive_filter,ppg_input_transform,reference_groups_order,report_final_aae_bpm,reacquire_enable,penalty_confidence_enable,all_mae_bpm,motion_mae_bpm,motion_p90_abs_error_bpm,motion_longest_fail_gt10_windows,recovery_mae_bpm,reacquire_triggered_windows,penalty_confidence_min
main_repair,20260617,multi_kaihe1,multi_kaihe1-green-raw_bandpass-lms-full-HF-v2.json,legacy,lms,raw_bandpass,HF,25.481950307448834,False,False,25.382559576746957,65.43952436930935,86.859765625,64,70.40593146433096,0,1.0
main_repair,20260617,multi_kaihe1,multi_kaihe1-green-raw_bandpass-lms-full-HF-v2.json,penalty_only,lms,raw_bandpass,HF,25.481950307448834,False,True,25.382559576746957,65.43952436930935,86.859765625,64,70.40593146433096,0,0.016844093211525576
main_repair,20260617,multi_kaihe1,multi_kaihe1-green-raw_bandpass-lms-full-HF-v2.json,reacquire_only,lms,raw_bandpass,HF,25.481950307448834,True,False,9.726066604258916,23.602566580130254,43.58383029121032,36,23.492845526830962,1,1.0
main_repair,20260617,multi_kaihe1,multi_kaihe1-green-raw_bandpass-lms-full-HF-v2.json,combined,lms,raw_bandpass,HF,25.481950307448834,True,True,9.722562193373749,23.591634910354134,43.58383029121032,36,23.492845526830962,1,0.016844093211525576
main_repair,20260617,multi_kaihe2,multi_kaihe2-green-raw_bandpass-lms-full-HF-v2.json,legacy,lms,raw_bandpass,HF,24.110153105403395,False,False,23.54198342873976,62.575442323564786,86.673828125,63,61.66483770917311,0,1.0
main_repair,20260617,multi_kaihe2,multi_kaihe2-green-raw_bandpass-lms-full-HF-v2.json,penalty_only,lms,raw_bandpass,HF,24.110153105403395,False,True,23.54198342873976,62.575442323564786,86.673828125,63,61.66483770917311,0,0.0051850512624669245
main_repair,20260617,multi_kaihe2,multi_kaihe2-green-raw_bandpass-lms-full-HF-v2.json,reacquire_only,lms,raw_bandpass,HF,24.110153105403395,True,False,5.379718184344222,13.669055573303881,46.89854146096053,15,1.0372628162079813,1,1.0
main_repair,20260617,multi_kaihe2,multi_kaihe2-green-raw_bandpass-lms-full-HF-v2.json,combined,lms,raw_bandpass,HF,24.110153105403395,True,True,5.379718184344222,13.669055573303881,46.89854146096053,15,1.0372628162079813,1,0.0051850512624669245
main_repair,20260617,multi_bobi3,multi_bobi3-green-raw_bandpass-lms-full-HF-v2.json,legacy,lms,raw_bandpass,HF,5.568245910124894,False,False,5.568245910124894,11.943426394169041,34.25183430612276,27,0.8352817207325448,0,1.0
main_repair,20260617,multi_bobi3,multi_bobi3-green-raw_bandpass-lms-full-HF-v2.json,penalty_only,lms,raw_bandpass,HF,5.568245910124894,False,True,5.568245910124894,11.943426394169041,34.25183430612276,27,0.8352817207325448,0,0.003930048693086891
main_repair,20260617,multi_bobi3,multi_bobi3-green-raw_bandpass-lms-full-HF-v2.json,reacquire_only,lms,raw_bandpass,HF,5.568245910124894,True,False,2.5179648139123305,2.4228520635661885,5.833734408237859,4,0.8352817207325448,1,1.0
main_repair,20260617,multi_bobi3,multi_bobi3-green-raw_bandpass-lms-full-HF-v2.json,combined,lms,raw_bandpass,HF,5.568245910124894,True,True,2.5179648139123305,2.4228520635661885,5.833734408237859,4,0.8352817207325448,1,0.003930048693086891
