version,aligned_time_s,window_idx,ref_hr_bpm,final_hr_bpm,error_bpm,previous_hr_bpm,penalty_centers_bpm_json,protection_center_bpm,protection_applied,protection_suppressed,protection_challenger_bpm,candidate_source,candidate_peaks_bpm_json,unpenalized_candidate_peaks_bpm_json,selected_peak_rank,reacquire_mode
before,107.5,98,119.720072,122.314453,2.594381,125.244140625,[135.8642578125],125.244140625,True,False,,,"[122.314453125, 130.0048828125, 101.806640625]","[136.5966796875, 122.314453125, 101.806640625, 81.298828125, 50.537109375]",1,locked
before,108.5,99,120.000000,123.046875,3.046875,122.314453125,[135.498046875],122.314453125,True,False,,,"[121.58203125, 48.7060546875]","[136.5966796875, 121.58203125, 48.7060546875]",1,locked
before,109.5,100,120.000000,125.244141,5.244141,121.58203125,[135.498046875],121.58203125,True,False,,,"[123.046875, 46.142578125]","[136.5966796875, 123.046875, 46.142578125, 74.3408203125]",1,locked
before,110.5,101,121.845374,127.807617,5.962244,123.046875,[136.23046875],123.046875,True,False,,,"[127.8076171875, 46.142578125]","[135.498046875, 46.142578125, 73.974609375, 88.9892578125]",1,locked
before,111.5,102,122.000000,132.568359,10.568359,127.8076171875,[136.962890625],127.8076171875,True,False,,,"[132.568359375, 47.607421875]","[136.23046875, 47.607421875, 88.2568359375, 75.0732421875]",1,locked
before,112.5,103,122.000000,137.329102,15.329102,132.568359375,[136.962890625],132.568359375,True,False,,,"[137.3291015625, 122.6806640625, 127.8076171875]","[137.3291015625, 122.6806640625, 49.8046875, 82.03125, 104.736328125]",1,locked
before,113.5,104,122.000000,137.695312,15.695312,137.3291015625,[137.3291015625],137.3291015625,True,False,,,"[137.6953125, 122.314453125]","[137.6953125, 122.314453125, 50.9033203125, 77.2705078125, 97.412109375]",1,locked
before,114.5,105,122.512938,138.061523,15.548586,137.6953125,[138.427734375],137.6953125,True,False,,,"[138.427734375, 123.046875, 51.26953125]","[138.427734375, 123.046875, 51.26953125, 102.5390625, 76.904296875]",1,locked
before,115.5,106,123.000000,138.061523,15.061523,138.427734375,[138.7939453125],138.427734375,True,False,,,"[138.0615234375, 50.9033203125, 106.93359375, 123.046875]","[138.0615234375, 50.9033203125, 106.93359375, 123.046875, 154.541015625]",1,locked
before,116.5,107,122.402678,138.061523,15.658845,138.0615234375,[138.427734375],138.0615234375,True,False,,,"[138.0615234375, 49.4384765625, 121.2158203125, 111.6943359375, 89.7216796875]","[138.0615234375, 49.4384765625, 121.2158203125, 111.6943359375, 89.7216796875]",1,locked
after,107.5,98,119.720072,120.483398,0.763326,106.93359375,[135.8642578125],106.93359375,True,False,,raw_local_peaks,"[122.314453125, 101.806640625, 81.298828125, 50.537109375, 174.31640625]","[136.5966796875, 122.314453125, 101.806640625, 81.298828125, 50.537109375]",1,locked
after,108.5,99,120.000000,121.582031,1.582031,111.93359375,[135.498046875],111.93359375,True,False,,raw_local_peaks,"[121.58203125, 48.7060546875]","[136.5966796875, 121.58203125, 48.7060546875]",1,locked
after,109.5,100,120.000000,122.680664,2.680664,121.58203125,[135.498046875],121.58203125,True,False,,raw_local_peaks,"[123.046875, 46.142578125, 74.3408203125]","[136.5966796875, 123.046875, 46.142578125, 74.3408203125]",1,locked
after,110.5,101,121.845374,122.680664,0.835290,123.046875,[136.23046875],123.046875,True,False,,held_previous,"[46.142578125, 73.974609375, 88.9892578125]","[135.498046875, 46.142578125, 73.974609375, 88.9892578125]",0,locked
after,111.5,102,122.000000,123.046875,1.046875,123.046875,[136.962890625],123.046875,True,False,,held_previous,"[47.607421875, 88.2568359375, 75.0732421875]","[136.23046875, 47.607421875, 88.2568359375, 75.0732421875]",0,locked
after,112.5,103,122.000000,123.046875,1.046875,123.046875,[136.962890625],123.046875,True,False,,raw_local_peaks,"[122.6806640625, 49.8046875, 82.03125, 104.736328125]","[137.3291015625, 122.6806640625, 49.8046875, 82.03125, 104.736328125]",1,locked
after,113.5,104,122.000000,122.680664,0.680664,122.6806640625,[137.3291015625],122.6806640625,True,False,,raw_local_peaks,"[122.314453125, 50.9033203125, 77.2705078125, 97.412109375, 153.4423828125]","[137.6953125, 122.314453125, 50.9033203125, 77.2705078125, 97.412109375]",1,locked
after,114.5,105,122.512938,122.314453,-0.198485,122.314453125,[138.427734375],122.314453125,True,False,,raw_local_peaks,"[123.046875, 51.26953125, 102.5390625, 76.904296875, 151.9775390625]","[138.427734375, 123.046875, 51.26953125, 102.5390625, 76.904296875]",1,locked
after,115.5,106,123.000000,122.314453,-0.685547,123.046875,[138.7939453125],123.046875,True,False,,raw_local_peaks,"[50.9033203125, 106.93359375, 123.046875, 154.541015625, 79.833984375]","[138.0615234375, 50.9033203125, 106.93359375, 123.046875, 154.541015625]",2,locked
after,116.5,107,122.402678,121.582031,-0.820647,118.046875,[138.427734375],118.046875,True,False,,raw_local_peaks,"[49.4384765625, 121.2158203125, 111.6943359375, 89.7216796875, 173.2177734375]","[138.0615234375, 49.4384765625, 121.2158203125, 111.6943359375, 89.7216796875]",2,locked
