section,key,value
summary,report_path,D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260622频谱惩罚优化2.0\multi_tiaosheng1-green-raw_bandpass-lms-full-HF-v2-spectrum-penalty-fix.json
summary,data_path,D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260622频谱惩罚优化2.0\multi_tiaosheng1.csv
summary,ref_path,D:\data\PPG_HeartRate\Algorithm\Algorithm\outline-PPGtoHR\bug\20260622频谱惩罚优化2.0\multi_tiaosheng1_HR_ref.csv
summary,window_idx,103
summary,start_s,104.0
summary,center_s,108.0
summary,end_s,112.0
summary,aligned_time_s,112.5
summary,time_bias,4.5
summary,ref_hr_bpm,122.2013390532914
summary,fft_hr_bpm,137.3291015625
summary,final_hr_bpm,123.046875
summary,error_bpm,0.8455359467085941
summary,candidate_hr_bpm,122.6806640625
summary,motion_peak_hz,2.28271484375
summary,has_motion_peak,True
summary,spec_penalty_width_hz,0.2
summary,is_motion,True
summary,used_adaptive,True
summary,window_kind,motion
summary,reliable,True
summary,ppg_mode,green
summary,analysis_scope,full
summary,adaptive_filter,lms
summary,reference_groups_order,HF
summary,best_params_json,"{""fs_target"": 50, ""hr_range_hz"": 0.4166666666666667, ""hr_range_rest"": 0.3333333333333333, ""lms_mu_base"": 0.008, ""max_order"": 20, ""slew_limit_bpm"": 14, ""slew_limit_rest"": 3.0, ""slew_step_bpm"": 5, ""slew_step_rest"": 2.0, ""smooth_win_len"": 7, ""spec_penalty_width"": 0.2, ""time_bias"": 4.5}"
summary,stage_count,2
summary,tracking_path,adaptive
summary,tracking_source,report
summary,penalty_applied,True
summary,penalty_centers_bpm,"(136.962890625,)"
summary,penalty_half_width_bpm,12.0
summary,penalty_weight_min,0.45999999999999996
summary,protection_center_bpm,123.046875
summary,protection_half_width_bpm,5.0
summary,protection_applied,True
summary,protected_penalty_overlap,True
summary,protection_suppressed,False
summary,protection_suppression_reason,
summary,protection_challenger_bpm,
summary,candidate_source,raw_local_peaks
summary,candidate_peaks_bpm,"(122.6806640625, 49.8046875, 82.03125, 104.736328125)"
summary,candidate_peak_amplitudes,"(0.29263543234693123, 0.15119525805315356, 0.1095875487407945, 0.10084842790070088)"
summary,penalty_centers_bpm_json,[136.962890625]
summary,candidate_peaks_bpm_json,"[122.6806640625, 49.8046875, 82.03125, 104.736328125]"
summary,candidate_peak_amplitudes_json,"[0.29263543234693123, 0.15119525805315356, 0.1095875487407945, 0.10084842790070088]"
summary,raw_candidate_hr_bpm,122.6806640625
summary,previous_hr_bpm,123.046875
summary,search_min_bpm,98.046875
summary,search_max_bpm,148.046875
summary,selected_peak_rank,1
summary,tracked_hr_bpm,122.6806640625
summary,slew_limited_hr_bpm,122.6806640625
summary,smoothed_path_hr_bpm,123.046875
stage_1,sensor_type,HF
stage_1,channel,hf1
stage_1,corr,0.5275334500857777
stage_1,delay_samples,-2
stage_1,M,2
stage_1,K,0
stage_1,filter_type,lms
stage_1,reference_order_key,HF
stage_2,sensor_type,HF
stage_2,channel,hf2
stage_2,corr,0.11012315651588271
stage_2,delay_samples,-2
stage_2,M,2
stage_2,K,0
stage_2,filter_type,lms
stage_2,reference_order_key,HF
