sample_id,scene,candidate_id,cache_key,data_sha256,reference_sha256,selected_candidate_sha256,selection_audit_sha256,solver_identity_sha256,solver_outcome_sha256,solver_result_sha256,actual_analysis_scope,actual_fs_target,actual_lms_mu_base,actual_lms_mu_min,actual_max_order,actual_smooth_win_len,actual_spec_penalty_width,actual_time_bias,metric_contract_version,base_metric_contract_version,time_bias_s,smooth_win_len,uses_offline_future_dependency,final_method,reset_fft_method,total_window_count,base_motion_window_count,base_motion_window_sha256,excluded_reference_window_count,excluded_unreliable_window_count,excluded_non_motion_window_count,final_motion_mae_bpm,reset_motion_mae_bpm,e10_window_count,e20_window_count,longest_e10_run_windows,longest_e20_run_windows,recovery_episode_count,right_censored_recovery_count,max_recovered_delay_s,recovery_episodes,physiological_rise_episode_count,max_rise_underestimate_bpm,physiological_rise_episodes
jianpan1_LYX_0708,jianpan,physical_v1:079b98a3d43131364fbdf38ce954fee23dcb76e2ffea08a8e6a3679ec0cad650,1dfdc60683e823cb9870e4b2e8a447d0280309bc4a10cd040555094176ea59e2,7c23fa243cf4c7f0a0f92d2f8a84ca3c12ee5af18df38dd4437e92ad0bb83265,076fec4a8767fdf6edfee35dfac72e898659b95e5cd6d9924724145976622b2c,95ff37848946e3a4900df76a132ef9d3c7003ad2ebf5629be2183b3c9d5e2d88,033c760299a0989ed4361d5062d9f2cd2ec754aa9273e1bed7c7670ef614d6d8,c90872f5befd97631ba7448360a875d256d74047ed1dfcb4733e41e436a86c48,aeacf4c40e23fbe004b71e44f3dc058fe63f5ea3824bec800c32079deae30fb0,31477a44e36e180e484f1237227a302f9a37f4c9ffe5cfa7f1ae0141703bdd19,full,50,0.006,1e-06,4,5,0.05,5.0,lyx_recovery_profile_metric_v1,lyx_bo_formal_metric_v1,5.0,5,True,LMS+H,reset FFT,173,70,2b3b97930c642f61436194c1d3e2a63158ea7477ca74fa5e77e9be94d41b0825,0,0,103,1.8471670447553041,2.156743541621179,0,0,0,0,0,0,,[],0,,[]
jianpan2_LYX_0708,jianpan,physical_v1:300f07aefd5f09e7cae71c7b658bab3cc768edddaefb92f55683b6119dfab633,7fba62dee3e147630d6fcf1ee6b03aa27e1b2806cc10f28b38407f09c02e3a61,b4aaafa531d731c81d7e8da0e5dac4f8c6e360bda6c7520c34ae78e023dd8bb7,c7a98e54da83d6310430276b33b88bf2306ade91ac81d5b9dd3f5d18ecf5a270,7025100605ad879402bf005cf28b97e9611580579942b386e554ac6a1167aee5,bc4e8b85f36e2b277cb0a15641a5091b295b017dd722ec3ad42ba17df46ec280,a144e0d334f1a76bc3fa5cf54bc672359be2dd412ffd4ac2dc761cf430f69c80,a5fbd2cdfb56715be47798a7bbe6368e75a142d03964b1f318daee7123f4f681,fbdb32da22c6fe3314ece21de18817ca533ac5f8d61b96a3140ddb5a0d40a8ce,full,50,0.012,1e-06,10,5,0.2,5.0,lyx_recovery_profile_metric_v1,lyx_bo_formal_metric_v1,5.0,5,True,LMS+H,reset FFT,174,67,b3f4e46a80c1a7e8737a280b3cf961db03d57534996bea32fcbc2c494762baea,0,0,107,2.6259898365683165,2.602757537120272,0,0,0,0,0,0,,[],0,,[]
jianpan3_LYX_0708,jianpan,physical_v1:f6af645d96c618b2e7d95d7182d9caf2f1b184cf9140e5474d13d1ef91b5a565,beaf454ba54500595612d382246ef7154ded4b44459c4869bdd0021fd273ea34,19b5d1c42c326cd2f868c1498bd282e7dba94141b8b51f70332fd82409c2e4b7,ecf02c256cde6af1557910ee9ff769de523ffb54e8124c2f0528fad82df968e6,3671c3c7ad76962eeef68cd0c079b15c6586096709565dd0711784775ccf7779,8338c2b60ba1dc0f7506782bd4a41a0470e347fbdf3a8710324142aade20cea7,c112215fdb9b4339b46d9906cacdc3f0bdb70dab50729d4c51249ad00b7b9b60,c3a958838bd76413bca9656c69ff7d6531e829ab1ac6a49f216570317b174750,044dd599efbb8e8707f9e75db7e9fa2743ad9b7647f96d5685ed22a750e3a27a,full,50,0.016,1e-06,2,5,0.2,5.0,lyx_recovery_profile_metric_v1,lyx_bo_formal_metric_v1,5.0,5,True,LMS+H,reset FFT,180,69,6956aadfa0c64e2118bc0894869206f8c29aaa7e5b29705035b8aec7fb5d4e0f,0,0,111,1.5081575294153724,5.884363101513856,0,0,0,0,0,0,,[],0,,[]
kaihe1_LYX_0613,kaihe,physical_v1:edc06b2c271663a17f64259366be4e68544777a19b6d90e4b388b75a1f3c5c07,841cd442aa081c707b7a883027a3b0bad41a95bb51d3563ef75d042ff72f387b,1dd489af27c30e2f52b911ec1e11312a7498463cdb1e737ca66ffba26bbf4bcb,38a5b714ee897bbeaaafa0be7017b3bf9d941826a0e534334131b1301c53e0e0,c7de2fcecaea6836e9768f74ffde9075328e11d06c9191e93deb505cb35e384b,a4906ad23e65a8b679684ca51c767702a4e0ed2f129f2a638bd78bbf179abffc,8a816e950b4b9eec79b610faf1685a13c5bfa62eaf8c858e2bc1800d637212c6,fb797d3f0be712940729dd632268c8a036d45ef154061891600a2ae1fee25db9,06a580e7714f39361342a80854abec71c9c2d1fe673795bb5c6ec97a331bb0fc,full,25,0.01,1e-06,5,5,0.05,5.0,lyx_recovery_profile_metric_v1,lyx_bo_formal_metric_v1,5.0,5,True,LMS+H,reset FFT,207,68,2639d78c315d4cc4cf533a31189113abcbba117efd8add6f35b4219f3afb2e70,0,0,139,2.0123916778493,63.90762480855827,0,0,0,0,0,0,,[],1,0.415601470316318,"[{""start_center_s"": 62.0, ""end_center_s"": 129.0, ""window_count"": 68, ""rise_underestimate_bpm"": 0.415601470316318}]"
kaihe1_LYX_0617,kaihe,physical_v1:1a3ac56b1ba42f52de2bea6b14d056dfe317e84b54deae4a2f4477e125faabcb,c28a67db8015fa5f96e35001d6cfbe90e854e0ede404e2c97b9495737e6dcf1c,73f626f972afccccb5a0ef261e3bfe1afd60b02b24a18e5b8a2ddfb5964e7528,a3b779e55561da76a3d69293e73175c624e947d57de38a3f5184d324731c0739,fe093ba7fdeb929054a225d502344f1a61c92d46351da04ed77b86c0e5655fd8,6e121370079648771828523fc9c1dfa29d3310a85e15d3f0e0bf2e943428d104,30da5ba65be5b8d292553b855ce177b864319228c3c254b33ccd382d825741d7,d6df642ecef2bbba76ef3139c67bcd98a1ba1bcd002b6b566a6ba4c14eaaae96,51c6d20abf5ecbcc07876fab96aabac19a98d1f09c6f2b3ad2cf7ea7df2033ad,full,100,0.016,1e-06,4,5,0.1,5.0,lyx_recovery_profile_metric_v1,lyx_bo_formal_metric_v1,5.0,5,True,LMS+H,reset FFT,209,67,0085e614197a5bdd448d4bfd30f3832ecc350fb855f906ad73dc7b81933ef1ed,0,0,142,5.2762688735177345,65.77779976325034,21,0,9,0,3,0,15.0,"[{""start_center_s"": 63.0, ""recovery_center_s"": 78.0, ""delay_s"": 15.0, ""right_censored"": false}, {""start_center_s"": 69.0, ""recovery_center_s"": 78.0, ""delay_s"": 9.0, ""right_censored"": false}, {""start_center_s"": 89.0, ""recovery_center_s"": 96.0, ""delay_s"": 7.0, ""right_censored"": false}]",1,2.2894911859057743,"[{""start_center_s"": 61.0, ""end_center_s"": 127.0, ""window_count"": 67, ""rise_underestimate_bpm"": 2.2894911859057743}]"
kaihe3_LYX_0613,kaihe,physical_v1:300f07aefd5f09e7cae71c7b658bab3cc768edddaefb92f55683b6119dfab633,3eaf15113ccb23a6d97fe35961acad0961772b1a5c5cfdfcf3756ff7b9dd843d,778f75d02d47a134a5999a5641de201dfc613da915b43876398792c6833c6e84,5cb40473d1793f8ff91eeed993f4a1b9a59c44b7fefcfd57a0314ad34c626050,bc7fea3e8b5fdfd79624a7caf31d0a56570807a12ced08ccb7c6971a0d87d8c5,84c0483486afd9a476871de61057df74ceb99d95c3fb2ae33f2d001ccd8cd13c,91e7261306702aa8e2280a26972700a6b08521847dc42efc33af907db27957b0,809df7786e40a858bf0eee4aad90f1ea5c12199a62d2e241fb478ef273dcdd9b,c8c746601288dbe5e84dd9565c57ba965af4b481dff3253004e40bc3b045ee9f,full,50,0.012,1e-06,10,5,0.2,5.0,lyx_recovery_profile_metric_v1,lyx_bo_formal_metric_v1,5.0,5,True,LMS+H,reset FFT,209,68,ab2e55d02dc48484372d0fc06bffae862285a2b7b2e13ee070a27abb0a3e1834,0,0,141,11.979730200308001,65.67289533056726,31,19,30,13,2,0,30.0,"[{""start_center_s"": 77.0, ""recovery_center_s"": 107.0, ""delay_s"": 30.0, ""right_censored"": false}, {""start_center_s"": 117.0, ""recovery_center_s"": 118.0, ""delay_s"": 1.0, ""right_censored"": false}]",1,8.022362033786976,"[{""start_center_s"": 63.0, ""end_center_s"": 130.0, ""window_count"": 68, ""rise_underestimate_bpm"": 8.022362033786976}]"
run1_LYX_0708,run,physical_v1:a2ab40da13992cf6f3b68f1220a604756b6f1ca77a368996008b86759c90f8aa,3b7754fabfd96aefc9bdf01a3ea087b7fc1d073e0038b3a60c0e9db267a2dbb9,4e53e93fb94a8ecd17d319af41d6d010c1424baf9c0151099cb417fb0a2d6af0,c8677ec1f0e22b25100c20ab83b8faf22ddea730a973b41b1b43673acf1443a0,ffd13b8a4c27345d26620058d4657c416dc97829f51d727a20e154757c5e17da,e3206ccc1b1417e3679d7c339082b93ac9f01ee620a1a3633e3e398c1c7d431f,acda4b83a32dc0bd83add6a41c9655d68828551fa3a6b68ae2978c66666a6873,0e177d35ceb9209fc087ed61adeb53d18c5c92a62df79e2f2e2a7cbbd4a7fc5b,947a17223ba1c0f6c1cd54a7261bde38cdd6b2bb505dac7799b6324ab7572b9e,full,50,0.016,1e-06,10,5,0.1,5.0,lyx_recovery_profile_metric_v1,lyx_bo_formal_metric_v1,5.0,5,True,LMS+H,reset FFT,234,86,d6418de2e52fce501d2f48badb460e6c75c984a7f9cff368db44fd18b1b11657,0,51,97,1.8765865252884326,38.9654233483248,5,0,5,0,1,0,5.0,"[{""start_center_s"": 62.0, ""recovery_center_s"": 67.0, ""delay_s"": 5.0, ""right_censored"": false}]",1,0.31142508217980236,"[{""start_center_s"": 59.0, ""end_center_s"": 96.0, ""window_count"": 38, ""rise_underestimate_bpm"": 0.31142508217980236}]"
run2_LYX_0708,run,physical_v1:127018e71d2e76f83aedd8a04fd634045754262fe2d9300eb5cd653a7582310c,e3841acdd7795e88170157d924158ce95f77c8138d0414b8b0246b30edd52fce,6e06fcb2efffb234c1d7b2dc93bc8ea7b432f000fdfdc5f32639850d1e6e7d18,8d04fc22e8e98c5b4380a05ded28e8aa542ab5fa66d800cf602289ccf0062382,837da2d9b7d82ae4db618f4f2d37726bf471ca792fcfea932b40f23175d1c3f0,3532e428c2e444f2ff589e044317ca534fc62efe974f219160ce289187b58f0a,5e0810b02ffab41aa5477cddb125aeb7b52f9928d2f27e5fe6de1a5c59fd20cb,1933f6d0ca99ae5cd24af1bf6c8d715aa635e46902103ab5bd6bbdd693e99010,6fb5a9c69db05c4940384d090e68a1f8d86a0972d730e2bf09aba0a46181f4f9,full,25,0.008,1e-06,1,5,0.05,5.0,lyx_recovery_profile_metric_v1,lyx_bo_formal_metric_v1,5.0,5,True,LMS+H,reset FFT,236,67,80bdc1194c675daf1c63c78b56ff7864c63f3f1f5374a8f4f8dccb5cfb1f5c29,0,73,96,0.7644244329694602,1.3492218722650826,0,0,0,0,0,0,,[],1,-0.264404296875,"[{""start_center_s"": 71.0, ""end_center_s"": 94.0, ""window_count"": 24, ""rise_underestimate_bpm"": -0.264404296875}]"
run3_LYX_0708,run,physical_v1:4bb9022384d4ba957a73cbaeaf24b723f78f9aceb7d5806414fb710fba8bc645,bd5aa1a49bb5459e7287ea19f41d28b7437f3163b00840898c539276346b5737,72d487748fa84ca857a1b50b09998d485359b9af63bdf9240a6e6b3415b632a8,323813b4b44f54e604bf751164616bdd3ed5859d5faee2f302b11301b612e1e3,4e72c20228a5c12001329696d9e17a9f8cdfd80fa6c215ea9e1c56c1138b5bc0,e738dc99efc52623ba044bb2dd489640e5f2e0e02167d01116c2f1aba4799661,10f2f0d41e711bf00f168f06643111af0dda1b6445d0e0366c11de6325bc1e46,9cc6a4bedc713e87c12656aa1194aa7f5c114ea579b2abe50582b77fd8e247e1,43ddd78f052bce336a407ab75602721689b67b07a82c63fc5cc92e7154b8d5e1,full,25,0.012,1e-06,1,5,0.2,5.0,lyx_recovery_profile_metric_v1,lyx_bo_formal_metric_v1,5.0,5,True,LMS+H,reset FFT,324,92,aafc17c80a46216c7a3983ea3430966bb5f9b91802c5febcfbf34f11493a4737,0,104,128,1.0544355893443473,50.87147679458144,0,0,0,0,0,0,,[],1,0.021017272666483677,"[{""start_center_s"": 60.0, ""end_center_s"": 88.0, ""window_count"": 29, ""rise_underestimate_bpm"": 0.021017272666483677}]"
xiezi2_LYX_0708,xiezi,physical_v1:bd5b52f789457f0c833b41adaa8d64539e4b4f08ee0380302769b183f8dc01f8,4c736ab872ee438e7b86cad8c6f7a8ff9eea766301874e70a68d3649393c3f06,eaba17c0d527c7a8b099dfa3f9587496bce5095ab91528c2b371d5d795e852b1,fc1a913849322295413e3ecf1ca48cefa477420ac4c34ea3cc2a5b74070d2877,5c1c3477e326080ad981092a67ba0994f40df97ce49afb54fd76d9437604c921,7037e6ca8ee8a4eaec3686737e71d5fd55ca3281b7d223a840a5f99d8fa01a2d,ed2350e70f0439db5d57a96d83a52c2df172e32971eb8feddfcdb61c5c7c2fd4,0b921f4218372ad3a704c4f5bc1253d0b8875211e74e28aa5a3866060482fb70,cc89cf025ec9410184a25636ab97b8c62fe0e74c54960b14f00602333565c143,full,25,0.008,1e-06,1,5,0.2,5.0,lyx_recovery_profile_metric_v1,lyx_bo_formal_metric_v1,5.0,5,True,LMS+H,reset FFT,172,71,7f2278a5ce4d151dc489f46f86910b0db4d32bf90fd85d03c546e49a52f723d8,0,0,101,1.249891988198265,1.9062343178398191,0,0,0,0,0,0,,[],0,,[]
xiezi3_LYX_0708,xiezi,physical_v1:ac93a1c63a60128c6a7c1580afb627cde34830f67af4ca0c9c13bd31a67fb9be,3909f80041edd7fff8a9280349021eaf044b59be7c82930e1098aaa98ff0c93d,111b11e3120c793eae426f7361f73ac8c0b5b6418057b2531f9fd62cf1a1be79,34c0a25bf5953ba8968108170ddcf3b6664fb15c7cecd8f1dfc1728c5cca0916,42d4374a9f91bf85a0c5bc2d650faadc1c4dda099d24fcc9b03f3a2c64d09143,6d794bf3575fe895a32425d9f8420eb73071458285a2ff88df9d415ce9452669,7694af6ae9804c4dc56ce16383cb982df4ef473a0ffcd2023cf8a6893e5a6cdd,23a8a2cc66032b16a6e83a5381f3c47965367078a255712563225868e89adc3d,839abee065c16a45340f9480bb41e4c3f0aaaf9a5d3efcc6f077655a6c3b33a6,full,25,0.012,1e-06,4,5,0.1,5.0,lyx_recovery_profile_metric_v1,lyx_bo_formal_metric_v1,5.0,5,True,LMS+H,reset FFT,174,74,231a229a8a3cea744c69eaa187f7e235e6066e12436f79405cda92dac11b15b7,0,0,100,1.2796353119699653,2.6293706803513075,0,0,0,0,0,0,,[],0,,[]
xiezi4_LYX_0708,xiezi,physical_v1:abe5916c0419ba0424d10072928a1b46869646ccf817273aebae783ea830ffef,aa0da90cb0b619bc23b55ad24128b2f7996d3871b32f96c5c99334ef270e24cc,1d18872f230a8ed75fdf9653196193557da946dcdb6b6375afe220ad9c71bdf4,9db5f78f018e87128771f45cc3af8004e51ef7530ae1358dcf873b8f547cb0f7,3e4448bacd1ddb3c2713a262c7fcf6eea5ef0f4e7146c2eb409103c046981329,b9ef6170fed6c66cfc547da8f9c30c7b6a2682e0ba9c5b0c9d66962874ef12a9,efbe2c2f9a44d15e35a835ed14feb7ca2b810e5ec49586b82ed99c71e6c31945,a99ae2a760902654bffcdef01eddf827eae7d37949bb1ac461a85414b3edcc9f,68f9ddd366e6ca7b173639f6bd912806409f2ebba992e05e04b78733115d620d,full,50,0.01,1e-06,4,5,0.3,5.0,lyx_recovery_profile_metric_v1,lyx_bo_formal_metric_v1,5.0,5,True,LMS+H,reset FFT,173,79,6664d806397423b9e91943f611e999ebdfa1504b4d2e0ee4b70c2eec089e7c4f,0,0,94,3.1512875479314526,2.82526583442902,0,0,0,0,0,0,,[],0,,[]
