dataset,sample,new_total_mae_bpm,baseline_total_mae_bpm,delta_total_mae_bpm,new_rest_mae_bpm,baseline_rest_mae_bpm,delta_rest_mae_bpm,new_motion_mae_bpm,baseline_motion_mae_bpm,delta_motion_mae_bpm,new_post60_mae_bpm,baseline_post60_mae_bpm,delta_post60_mae_bpm,new_post60_e10_count,new_post60_e20_count,new_post60_bounce_count,baseline_post60_e20_count,baseline_post60_bounce_count,acc_total_mae_bpm,acc_rest_mae_bpm,acc_motion_mae_bpm,acc_post60_mae_bpm,reset_fft_total_mae_bpm,reset_fft_rest_mae_bpm,reset_fft_motion_mae_bpm,trial_count,time_bias_s
HB,bobi1,3.2966,3.3436,-0.04699999999999971,0.7898,1.0106,-0.2208,8.4621,8.1157,0.34639999999999915,0.8855474585809309,1.5231345208215497,-0.6375870622406188,0,0,0,0,0,10.6322,1.043,30.3918,1.4595359332274582,38.7738,36.2261,44.0236,120,4.5
HB,bobi2,4.6809,16.2871,-11.606199999999998,1.7356,10.7547,-9.0191,9.7469,25.8027,-16.0558,3.013989034269448,18.351986821872806,-15.337997787603358,5,2,0,24,0,12.3884,2.2833,29.7692,4.191661370885355,35.8171,33.6987,39.4609,120,4.0
HB,bobi3,3.2409,3.2054,0.035499999999999865,0.9285,0.8749,0.05359999999999998,7.7681,7.7681,0.0,0.987014407168868,0.9118262198047238,0.07518818736414423,0,0,0,0,0,14.3287,1.6732,39.1051,2.712167326226752,17.8223,3.1765,46.4951,120,4.5
HB,jianpan1,2.5999,2.3732,0.22669999999999968,1.6962,1.373,0.32319999999999993,3.5788,3.4448,0.13400000000000034,2.2805773127875857,1.7546664764990545,0.5259108362885312,0,0,0,0,0,1.7318,1.6962,1.7703,2.2805773127875857,1.9156,1.4892,2.3775,120,4.5
HB,jianpan2,1.5487,1.355,0.19369999999999998,1.9396,1.6341,0.3054999999999999,0.8715,0.8715,0.0,2.6038052376693135,2.1446305096017633,0.4591747280675502,0,0,0,0,0,1.5673,1.9396,0.9222,2.6038052376693135,1.5386,1.7872,1.1079,120,6.0
HB,jianpan3,1.8874,1.7177,0.16969999999999996,1.5595,1.2683,0.2912000000000001,2.3703,2.3793,-0.009000000000000341,2.621799856223441,1.9508417604218666,0.6709580958015742,1,0,0,0,0,1.3951,1.5518,1.1642,2.6041792719843104,1.2831,1.5557,0.8817,120,5.0
HB,kaihe1,4.2868,4.0976,0.18920000000000048,0.8427,0.7612,0.08150000000000002,11.8356,11.4101,0.42549999999999955,0.9876365242203086,0.6957081305407774,0.29192839367953116,0,0,0,0,0,15.3006,1.4662,45.6224,2.650313501323602,26.343,3.7096,75.9506,120,4.5
HB,kaihe2,3.3885,31.1644,-27.7759,0.7302,40.4294,-39.699200000000005,9.3698,10.3182,-0.9483999999999995,1.0501179820100113,62.155751410899285,-61.10563342888928,0,0,0,50,0,19.3927,2.9968,56.2834,7.170088685134997,42.7377,44.6107,38.5235,120,4.0
HB,kaihe3,2.1896,18.3391,-16.1495,1.0848,22.3518,-21.267,5.2761,7.1289,-1.8528000000000002,1.8738852359916067,21.89949186807095,-20.02560663207934,3,0,0,17,0,9.0692,1.4162,30.4491,2.845952772864793,37.9194,40.3298,31.1855,120,4.0
HB,quanji1,2.7274,2.5834,0.14399999999999968,1.8919,1.648,0.2439,4.3843,4.4387,-0.054400000000000226,2.7508290391938237,2.2225404391011847,0.528288600092639,6,0,0,0,0,8.2618,3.3732,17.9573,6.140702837270739,4.7379,2.4419,9.2916,120,4.0
