record_id,scene,lane,spectral_gate_pass,valid_window_count,invalid_window_count,prominence_db_delta_median,visible_top3_rate_delta,hr_band_share_delta_median,pulse_power_retention_median,residual_artifact_corr_delta_median,complete_window_evidence_pass,hr_band_share_delta_pass,prominence_db_delta_pass,pulse_power_retention_pass,residual_artifact_corr_delta_pass,visible_top3_rate_delta_pass,identity_sha256,result_sha256
jianpan1_LYX_0708,jianpan,raw_bypass,True,165,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,863b9b665f9d6c221be366bf0acf90e92044eff2f8bf93313b93c75c5472ca32,b70c4c2ec290f584e8af0c7f3180e43cb2cd7cfd9d76a5f73870126c9ad0360c
jianpan1_LYX_0708,jianpan,two_stage_zero_update,True,165,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,863b9b665f9d6c221be366bf0acf90e92044eff2f8bf93313b93c75c5472ca32,b70c4c2ec290f584e8af0c7f3180e43cb2cd7cfd9d76a5f73870126c9ad0360c
jianpan1_LYX_0708,jianpan,rank1_only_adaptive,True,165,0,-0.021928473789143643,0.0,-0.008374280373351584,0.9932408564485976,-0.018172404589290533,True,True,True,True,True,True,863b9b665f9d6c221be366bf0acf90e92044eff2f8bf93313b93c75c5472ca32,b70c4c2ec290f584e8af0c7f3180e43cb2cd7cfd9d76a5f73870126c9ad0360c
jianpan1_LYX_0708,jianpan,rank2_only_adaptive,True,165,0,-0.0575357376784571,-0.006060606060606061,-0.008561910412403284,0.9844764261547134,-4.187336905270289e-05,True,True,True,True,True,True,863b9b665f9d6c221be366bf0acf90e92044eff2f8bf93313b93c75c5472ca32,b70c4c2ec290f584e8af0c7f3180e43cb2cd7cfd9d76a5f73870126c9ad0360c
jianpan1_LYX_0708,jianpan,ranked_cascade_adaptive,False,165,0,-0.25527488361090356,-0.006060606060606061,-0.020509723155374693,0.9723134216327222,-0.019211655279927575,True,False,True,True,True,True,863b9b665f9d6c221be366bf0acf90e92044eff2f8bf93313b93c75c5472ca32,b70c4c2ec290f584e8af0c7f3180e43cb2cd7cfd9d76a5f73870126c9ad0360c
jianpan1_LYX_0708,jianpan,reverse_cascade_adaptive,False,165,0,-0.28054148139469604,-0.006060606060606061,-0.022888632422696342,0.9715081454849999,-0.0254402137405281,True,False,True,True,True,True,863b9b665f9d6c221be366bf0acf90e92044eff2f8bf93313b93c75c5472ca32,b70c4c2ec290f584e8af0c7f3180e43cb2cd7cfd9d76a5f73870126c9ad0360c
jianpan2_LYX_0708,jianpan,raw_bypass,True,166,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,af87be564178eb840dad769869b62b72cc1a178836026e9b5a1cc37670ecaacf,2b86749d5ca9654a059a6c22c971e978394b468aedbd6d013b5fda3aec8ab8cc
jianpan2_LYX_0708,jianpan,two_stage_zero_update,True,166,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,af87be564178eb840dad769869b62b72cc1a178836026e9b5a1cc37670ecaacf,2b86749d5ca9654a059a6c22c971e978394b468aedbd6d013b5fda3aec8ab8cc
jianpan2_LYX_0708,jianpan,rank1_only_adaptive,True,166,0,-0.03329939040640495,0.012048192771084338,-0.005879243146682311,0.9978135435768678,-0.0058754173117726485,True,True,True,True,True,True,af87be564178eb840dad769869b62b72cc1a178836026e9b5a1cc37670ecaacf,2b86749d5ca9654a059a6c22c971e978394b468aedbd6d013b5fda3aec8ab8cc
jianpan2_LYX_0708,jianpan,rank2_only_adaptive,True,166,0,-0.09609140805293469,0.012048192771084338,-0.00845163825272513,0.9908656605902719,-0.0006407270375347884,True,True,True,True,True,True,af87be564178eb840dad769869b62b72cc1a178836026e9b5a1cc37670ecaacf,2b86749d5ca9654a059a6c22c971e978394b468aedbd6d013b5fda3aec8ab8cc
jianpan2_LYX_0708,jianpan,ranked_cascade_adaptive,True,166,0,-0.1361573702567691,0.018072289156626505,-0.013864570074781424,0.9819089564271699,-0.013367570271381631,True,True,True,True,True,True,af87be564178eb840dad769869b62b72cc1a178836026e9b5a1cc37670ecaacf,2b86749d5ca9654a059a6c22c971e978394b468aedbd6d013b5fda3aec8ab8cc
jianpan2_LYX_0708,jianpan,reverse_cascade_adaptive,True,166,0,-0.14029407437274877,0.012048192771084338,-0.013679849063817473,0.9807563616629555,-0.013611152706049831,True,True,True,True,True,True,af87be564178eb840dad769869b62b72cc1a178836026e9b5a1cc37670ecaacf,2b86749d5ca9654a059a6c22c971e978394b468aedbd6d013b5fda3aec8ab8cc
jianpan3_LYX_0708,jianpan,raw_bypass,True,172,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,cc1a15046924dc42ec3b58937ab342113a7b1b9691f8fb289e117841573af873,1a1227195db73e51dd076805d73a7b1c106e2049a40a9f98557d6983bdce76f0
jianpan3_LYX_0708,jianpan,two_stage_zero_update,True,172,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,cc1a15046924dc42ec3b58937ab342113a7b1b9691f8fb289e117841573af873,1a1227195db73e51dd076805d73a7b1c106e2049a40a9f98557d6983bdce76f0
jianpan3_LYX_0708,jianpan,rank1_only_adaptive,True,172,0,0.11040150633035917,-0.005813953488372093,-0.002727595507196756,1.006787403735982,-0.08934324387209178,True,True,True,True,True,True,cc1a15046924dc42ec3b58937ab342113a7b1b9691f8fb289e117841573af873,1a1227195db73e51dd076805d73a7b1c106e2049a40a9f98557d6983bdce76f0
jianpan3_LYX_0708,jianpan,rank2_only_adaptive,True,172,0,-0.08336533458127127,0.0,-0.010824510151126177,0.991676239388346,0.00012780500137968276,True,True,True,True,True,True,cc1a15046924dc42ec3b58937ab342113a7b1b9691f8fb289e117841573af873,1a1227195db73e51dd076805d73a7b1c106e2049a40a9f98557d6983bdce76f0
jianpan3_LYX_0708,jianpan,ranked_cascade_adaptive,True,172,0,0.03897983644515235,-0.005813953488372093,-0.010242740034442033,0.9820495153264253,-0.08002745308367357,True,True,True,True,True,True,cc1a15046924dc42ec3b58937ab342113a7b1b9691f8fb289e117841573af873,1a1227195db73e51dd076805d73a7b1c106e2049a40a9f98557d6983bdce76f0
jianpan3_LYX_0708,jianpan,reverse_cascade_adaptive,True,172,0,0.05346131812151289,-0.005813953488372093,-0.010333356614380368,0.9774019682297568,-0.0813208728179822,True,True,True,True,True,True,cc1a15046924dc42ec3b58937ab342113a7b1b9691f8fb289e117841573af873,1a1227195db73e51dd076805d73a7b1c106e2049a40a9f98557d6983bdce76f0
kaihe1_LYX_0613,kaihe,raw_bypass,True,199,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,372bad3342cff86e9946b92518dfee31f9d3b926c70d51134e1d16b832b7f290,7cc65af218793a5cad7050d2f603c02b50e310d2cf6e0cd1a43bcb619a9afcbb
kaihe1_LYX_0613,kaihe,two_stage_zero_update,True,199,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,372bad3342cff86e9946b92518dfee31f9d3b926c70d51134e1d16b832b7f290,7cc65af218793a5cad7050d2f603c02b50e310d2cf6e0cd1a43bcb619a9afcbb
kaihe1_LYX_0613,kaihe,rank1_only_adaptive,True,199,0,0.060698080126960985,-0.010050251256281407,-0.0007260649859193447,1.0021126502562265,-2.6980704227685948e-05,True,True,True,True,True,True,372bad3342cff86e9946b92518dfee31f9d3b926c70d51134e1d16b832b7f290,7cc65af218793a5cad7050d2f603c02b50e310d2cf6e0cd1a43bcb619a9afcbb
kaihe1_LYX_0613,kaihe,rank2_only_adaptive,True,199,0,0.01068130492159547,0.0,-0.002106558503235309,1.0005356746051293,-0.0027126555301387953,True,True,True,True,True,True,372bad3342cff86e9946b92518dfee31f9d3b926c70d51134e1d16b832b7f290,7cc65af218793a5cad7050d2f603c02b50e310d2cf6e0cd1a43bcb619a9afcbb
kaihe1_LYX_0613,kaihe,ranked_cascade_adaptive,True,199,0,0.06252514748462978,0.0,-0.002427823974520016,1.004595221858626,0.00010648288517378646,True,True,True,True,True,True,372bad3342cff86e9946b92518dfee31f9d3b926c70d51134e1d16b832b7f290,7cc65af218793a5cad7050d2f603c02b50e310d2cf6e0cd1a43bcb619a9afcbb
kaihe1_LYX_0613,kaihe,reverse_cascade_adaptive,True,199,0,0.1086718116753449,0.005025125628140704,-0.001835086592513746,1.0034253859607511,0.0021480361189119557,True,True,True,True,True,True,372bad3342cff86e9946b92518dfee31f9d3b926c70d51134e1d16b832b7f290,7cc65af218793a5cad7050d2f603c02b50e310d2cf6e0cd1a43bcb619a9afcbb
kaihe1_LYX_0617,kaihe,raw_bypass,True,201,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,bfd765391376d72eb6e4473ae710e6b9b687ea9c8fb3f07924614eb29f614eaf,fa342174005a61791b0821392dd2b7aea0aa762a66ed69894906f74409ac49f6
kaihe1_LYX_0617,kaihe,two_stage_zero_update,True,201,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,bfd765391376d72eb6e4473ae710e6b9b687ea9c8fb3f07924614eb29f614eaf,fa342174005a61791b0821392dd2b7aea0aa762a66ed69894906f74409ac49f6
kaihe1_LYX_0617,kaihe,rank1_only_adaptive,True,201,0,0.10491899155087214,-0.004975124378109453,-0.004868009896252468,1.0003128019487664,-0.03083500081144446,True,True,True,True,True,True,bfd765391376d72eb6e4473ae710e6b9b687ea9c8fb3f07924614eb29f614eaf,fa342174005a61791b0821392dd2b7aea0aa762a66ed69894906f74409ac49f6
kaihe1_LYX_0617,kaihe,rank2_only_adaptive,True,201,0,0.0063630199949749056,0.0,-0.0019919975208410046,0.9916651711737998,-3.4110524171238055e-05,True,True,True,True,True,True,bfd765391376d72eb6e4473ae710e6b9b687ea9c8fb3f07924614eb29f614eaf,fa342174005a61791b0821392dd2b7aea0aa762a66ed69894906f74409ac49f6
kaihe1_LYX_0617,kaihe,ranked_cascade_adaptive,True,201,0,0.10758005918454927,0.009950248756218905,-0.011689839906346422,0.9889799068503974,-0.038381875705882404,True,True,True,True,True,True,bfd765391376d72eb6e4473ae710e6b9b687ea9c8fb3f07924614eb29f614eaf,fa342174005a61791b0821392dd2b7aea0aa762a66ed69894906f74409ac49f6
kaihe1_LYX_0617,kaihe,reverse_cascade_adaptive,True,201,0,0.07818909939586405,0.0,-0.012413636429710995,0.9801708016837768,-0.03297808035692046,True,True,True,True,True,True,bfd765391376d72eb6e4473ae710e6b9b687ea9c8fb3f07924614eb29f614eaf,fa342174005a61791b0821392dd2b7aea0aa762a66ed69894906f74409ac49f6
kaihe3_LYX_0613,kaihe,raw_bypass,True,201,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,4d004c4b418bddf1ac0cdfef26ea67b9e39db8be12cab536b57429de0d27a189,47527bddc4e33305a5c2a74e4cec8312d58cb70d233632336235946f575b0a32
kaihe3_LYX_0613,kaihe,two_stage_zero_update,True,201,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,4d004c4b418bddf1ac0cdfef26ea67b9e39db8be12cab536b57429de0d27a189,47527bddc4e33305a5c2a74e4cec8312d58cb70d233632336235946f575b0a32
kaihe3_LYX_0613,kaihe,rank1_only_adaptive,True,201,0,0.03725022944890721,0.024875621890547265,-0.0012231107409932107,1.0016114365229918,-0.060690704544042365,True,True,True,True,True,True,4d004c4b418bddf1ac0cdfef26ea67b9e39db8be12cab536b57429de0d27a189,47527bddc4e33305a5c2a74e4cec8312d58cb70d233632336235946f575b0a32
kaihe3_LYX_0613,kaihe,rank2_only_adaptive,True,201,0,0.1669324155121057,0.03482587064676617,-0.0015493229978029537,0.9931053894630201,-0.009835260454354622,True,True,True,True,True,True,4d004c4b418bddf1ac0cdfef26ea67b9e39db8be12cab536b57429de0d27a189,47527bddc4e33305a5c2a74e4cec8312d58cb70d233632336235946f575b0a32
kaihe3_LYX_0613,kaihe,ranked_cascade_adaptive,True,201,0,0.297852645571854,0.03482587064676617,-0.004009475009586483,0.9972569667965264,-0.06584536754533316,True,True,True,True,True,True,4d004c4b418bddf1ac0cdfef26ea67b9e39db8be12cab536b57429de0d27a189,47527bddc4e33305a5c2a74e4cec8312d58cb70d233632336235946f575b0a32
kaihe3_LYX_0613,kaihe,reverse_cascade_adaptive,True,201,0,0.2880241853537866,0.03482587064676617,-0.006302828477534343,0.994875870900841,-0.07464134660223941,True,True,True,True,True,True,4d004c4b418bddf1ac0cdfef26ea67b9e39db8be12cab536b57429de0d27a189,47527bddc4e33305a5c2a74e4cec8312d58cb70d233632336235946f575b0a32
run1_LYX_0708,run,raw_bypass,True,226,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,534ee3eeeda13c8603d1c8dae203c76d593fc09dc260c396508ff737a7c50f71,39990228c84afea61f167a762c74b22ff962101c0c9ad8ebf90bfb1505d0b6d0
run1_LYX_0708,run,two_stage_zero_update,True,226,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,534ee3eeeda13c8603d1c8dae203c76d593fc09dc260c396508ff737a7c50f71,39990228c84afea61f167a762c74b22ff962101c0c9ad8ebf90bfb1505d0b6d0
run1_LYX_0708,run,rank1_only_adaptive,True,226,0,0.06744972087292975,0.0,-0.0002127623172988452,1.0087907022672193,-0.004008071815194558,True,True,True,True,True,True,534ee3eeeda13c8603d1c8dae203c76d593fc09dc260c396508ff737a7c50f71,39990228c84afea61f167a762c74b22ff962101c0c9ad8ebf90bfb1505d0b6d0
run1_LYX_0708,run,rank2_only_adaptive,True,226,0,0.028892076680853807,0.01327433628318584,-0.00014901909158979154,1.000332877898115,0.0009424914295906722,True,True,True,True,True,True,534ee3eeeda13c8603d1c8dae203c76d593fc09dc260c396508ff737a7c50f71,39990228c84afea61f167a762c74b22ff962101c0c9ad8ebf90bfb1505d0b6d0
run1_LYX_0708,run,ranked_cascade_adaptive,True,226,0,0.011645158726572014,0.01327433628318584,-0.002034286114771102,0.9920934417314483,-0.00014587639141025455,True,True,True,True,True,True,534ee3eeeda13c8603d1c8dae203c76d593fc09dc260c396508ff737a7c50f71,39990228c84afea61f167a762c74b22ff962101c0c9ad8ebf90bfb1505d0b6d0
run1_LYX_0708,run,reverse_cascade_adaptive,True,226,0,0.03636862818640463,0.008849557522123894,-0.0017467058714175365,0.9957313973092105,-0.001286073548654721,True,True,True,True,True,True,534ee3eeeda13c8603d1c8dae203c76d593fc09dc260c396508ff737a7c50f71,39990228c84afea61f167a762c74b22ff962101c0c9ad8ebf90bfb1505d0b6d0
run2_LYX_0708,run,raw_bypass,True,228,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,ec4f3882a486194f7a99db60d2a5d2480d23b2bdd451e1e015a31c1725865511,5d2beff97b6c214bc9fd11ad3e4031f42b6e79717f726515073adb0d823add4e
run2_LYX_0708,run,two_stage_zero_update,True,228,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,ec4f3882a486194f7a99db60d2a5d2480d23b2bdd451e1e015a31c1725865511,5d2beff97b6c214bc9fd11ad3e4031f42b6e79717f726515073adb0d823add4e
