profile_id,record_id,scene,valid_window_count,invalid_window_count,prominence_db_delta_median,visible_top3_rate_delta,hr_band_share_delta_median,pulse_power_retention_median,residual_artifact_corr_delta_median,prominence_db_delta_pass,visible_top3_rate_delta_pass,hr_band_share_delta_pass,pulse_power_retention_pass,residual_artifact_corr_delta_pass,complete_window_evidence_pass,spectral_gate_pass,identity_sha256,audit_sha256,materialized_audit_sha256
p25-long-mid,jianpan1_LYX_0708,jianpan,165,0,-1.0942997353814157,-0.012121212121212121,-0.09956190532809861,0.0011738349755009223,-0.07413123702913821,False,True,False,False,True,True,False,8e80249bf7d218b4a350254128607c1c39331753f22dcbb8046bd721a694a97b,8c7eeb6eba0f7c35478e7adca6305e7831a8edea020579560d2c977e698910c1,a4ccb9147fe1b440707c97de9cf121dec273c843bea69170275092c9ec128e48
p25-long-mid,jianpan2_LYX_0708,jianpan,166,0,-0.4622213966839408,0.012048192771084338,-0.05732813744232251,0.0009150592695268879,-0.0870870097682866,True,True,False,False,True,True,False,5bfd14237566a22f698c2e04bbed3a053d8e0acecc8bb792977aaadbcae503f4,fe02178c2ebc5565c49e1c35c62b603989dd3f98bbceee8e9f6a634c78fa722f,29bf75b59dbfe46cdc101acfa5b764aedb9fe25612303704e8ba74219a1f0e09
p25-long-mid,jianpan3_LYX_0708,jianpan,172,0,-0.03093299734423907,0.0,-0.037006699968953616,0.00040522760951850736,-0.12075099980729409,True,True,False,False,True,True,False,e1f713a33cffe177274bfa591182253d8f62523dec069667b643b38db473e48c,c3a9a18621b0a420234d8b4e7f94957bc8835857fb5f935a325bb66574b4736e,45ace4d68ce1c2b7badc2f9042c81110b13bf87ac54f512ea7b1d112c64cdde1
p25-long-mid,kaihe1_LYX_0613,kaihe,199,0,0.3963638219086101,0.03015075376884422,-0.018953523544112394,0.0008647440504716888,-0.09648030505572423,True,True,True,False,True,True,False,217d83db4398aeac41811ef439822e8ae351d0914060d3ef228d77755f811080,542c78f24f745e308ddbd4827d046a94fc22d2f6544e2b2d7ac59c097d1d25fa,e9584808204ef4026d150c99ad4af19f914f40f7539ccf8cfd9eec13b1b5aa38
p25-long-mid,kaihe1_LYX_0617,kaihe,201,0,0.07170849510523691,0.004975124378109453,-0.03391179793073118,0.0003897818659607618,-0.07704338251919506,True,True,False,False,True,True,False,f131b5e6e9e8573346be4e531806cf4d7026ef8d0b431e55ce9e4d479a94c302,3d1c1d85d9c36437cebfeb3b6d881f6c977c613dafdd811a638e4f01bdd17630,a532e16a174115d6d07eeb8d3ca26ea268097c2f548f8fdd8ac188c4f553904b
p25-long-mid,kaihe3_LYX_0613,kaihe,201,0,0.30575634683823694,-0.04477611940298507,-0.03023120699479693,0.0013099992193445235,-0.090957569805485,True,True,False,False,True,True,False,6dbfcbeb23338dc4204a62487e2a58d6cc5e5d7c26f1fbed6c1f1187089e6f15,eb02d3b53346661a5522a067db1985f1696020335e224c2ceb19234ad93b5545,ca6fa008ddd20903c3a67bda939887bc0378a59e28d7f097e32d4106db6042a0
p25-long-mid,run1_LYX_0708,run,226,0,2.1528137631335094,0.048672566371681415,0.04605726693946774,0.0034288512003354467,-0.03036098550672492,True,True,True,False,True,True,False,7e420f3d3c9b0ace702b8defa316a7420da6ee5e93d994a88810ddd7354f0fa5,422e2f085725b80fa2e22a5ee7eb577d746877500163aa0ef3bc0931052d95eb,fd30681a38613c9c1be25beab2600585d808b720835de63db0fd0d6bf68aaa9b
p25-long-mid,run2_LYX_0708,run,228,0,0.22890763862021757,-0.013157894736842105,0.009266886211146644,0.0006527906633223672,-0.1277415542130719,True,True,True,False,True,True,False,db9212ffc56e70e77ea3641e78179ce1876335106213dd0859d8273fb5a92c75,b00127466e41f26da87b7b6a681f6203f842ab9f0ea3baee0215abbdd9c34f19,a8b3b8fd504c2ab50049bb3830b42d8e6063814e28af16db11480da65a18904b
p25-long-mid,run3_LYX_0708,run,316,0,-0.20989930095554765,-0.015822784810126583,-0.0316611727060635,0.0009484474509787005,-0.060163018392692835,True,True,False,False,True,True,False,787bf925e9e16fe8e930ef2f3d89a06b6712de8e2168dee3a4efd5afbd559b30,afe90046c9afb103ea181b4a831a8d4c504a7fa6c3065001d8695803b586fffc,5df1e82a08e301df9e62d1d2eebae25cab2730a7568d1622996e5381b439f648
p25-long-mid,xiezi2_LYX_0708,xiezi,164,0,-0.5093849523443246,0.018292682926829267,-0.06845596249607594,0.0004434184077249983,-0.0357398838054578,False,True,False,False,True,True,False,539b4c817a93d2cb5bb8db00e9d62cb1fef945321a7fa65131e1928d8c001002,edfcafeee12ba1540fd12c71e2238c0f5c2e43b45d10d70ad9e9d37d9b8616a2,928bf688e2dc68e592780f7497207e86c6cd6f11040a5dcf2a8b1de9a4fbefcd
p25-long-mid,xiezi3_LYX_0708,xiezi,166,0,-0.7227804593850153,0.0,-0.06875202885155092,0.0003077543430533176,-0.02568024162362334,False,True,False,False,True,True,False,22eda10a98d8b8b501cb1ecd9f515b8d6c832e8d59d7f162aa3969567460d0f8,cd77d3e444c8cf1ba4ac33e7529234c81be635cdf3e9905bf510b2d40fe20be6,c81a4ed799082991d38bca6e7af298c1680e41ee44141b92ad40a4860d1e0f7a
p25-long-mid,xiezi4_LYX_0708,xiezi,165,0,-0.41337859645818753,-0.012121212121212121,-0.03449482612621246,0.0002025793259155585,-0.030397727302521743,True,True,False,False,True,True,False,5c353986b8455de0c09e30c5ce9c0cb994133d4a2521b396bb421377c6b80da0,116c743261808cbfc1dd4c9c829c86bd72a9935bb3d1b661417aa5baa32311b3,8ede854290dd43cbb8ff5dc4d150c26fa5194345b2a09956a9d7523801742dcb
p25-short-low,jianpan1_LYX_0708,jianpan,165,0,-0.25527488361090356,-0.006060606060606061,-0.020509723155374138,0.0014680947820197318,-0.019211655279927436,True,True,False,False,True,True,False,d2691ceeb9551e75ef5bed44c806704f3323bdfb57f9e5837e426e8120c1c1a3,e1b67f2fa011003ecb83d3099a89908465584d80457f7efbe77b58d1f5907abe,43a6fedf729ebdbcd3f88dea811a50fd3f78627d5bf56109016a9729e5fc91bf
