record_id,scene,direct_raw_bypass,legacy_raw_vs_zero_update_lms,same_scale_zero_update_lms,legacy_to_same_scale_retention_ratio,direct_bypass_pass,same_scale_zero_update_pass,legacy_scale_mismatch_reproduced
jianpan1_LYX_0708,jianpan,1.0,0.001594843118684542,1.0,0.001594843118684542,True,True,True
jianpan2_LYX_0708,jianpan,1.0,0.0011094533767632103,1.0,0.0011094533767632103,True,True,True
jianpan3_LYX_0708,jianpan,1.0,0.00043237223187186685,1.0,0.00043237223187186685,True,True,True
kaihe1_LYX_0613,kaihe,1.0,0.0008846372720963364,1.0,0.0008846372720963364,True,True,True
kaihe1_LYX_0617,kaihe,1.0,0.0004677385863051357,1.0,0.0004677385863051357,True,True,True
kaihe3_LYX_0613,kaihe,1.0,0.0015660641084855966,1.0,0.0015660641084855966,True,True,True
run1_LYX_0708,run,1.0,0.0024592394550348607,1.0,0.0024592394550348607,True,True,True
run2_LYX_0708,run,1.0,0.0006055598596253371,1.0,0.0006055598596253371,True,True,True
run3_LYX_0708,run,1.0,0.0010501543938857597,1.0,0.0010501543938857597,True,True,True
xiezi2_LYX_0708,xiezi,1.0,0.0005018221353451219,1.0,0.0005018221353451219,True,True,True
xiezi3_LYX_0708,xiezi,1.0,0.00041399515467208163,1.0,0.00041399515467208163,True,True,True
xiezi4_LYX_0708,xiezi,1.0,0.0002939799228783267,1.0,0.0002939799228783267,True,True,True
