adaptive_filter,fs_target_median,fs_target_mode,fs_target_mode_share,hr_range_hz_median,hr_range_hz_mode,hr_range_hz_mode_share,hr_range_rest_median,hr_range_rest_mode,hr_range_rest_mode_share,klms_epsilon_median,klms_epsilon_mode,klms_epsilon_mode_share,klms_sigma_median,klms_sigma_mode,klms_sigma_mode_share,klms_step_size_median,klms_step_size_mode,klms_step_size_mode_share,lms_mu_base_median,lms_mu_base_mode,lms_mu_base_mode_share,max_order_median,max_order_mode,max_order_mode_share,motion_label,motion_type,n,slew_limit_bpm_median,slew_limit_bpm_mode,slew_limit_bpm_mode_share,slew_limit_rest_median,slew_limit_rest_mode,slew_limit_rest_mode_share,slew_step_bpm_median,slew_step_bpm_mode,slew_step_bpm_mode_share,slew_step_rest_median,slew_step_rest_mode,slew_step_rest_mode_share,smooth_win_len_median,smooth_win_len_mode,smooth_win_len_mode_share,spec_penalty_width_median,spec_penalty_width_mode,spec_penalty_width_mode_share,time_bias_median,time_bias_mode,time_bias_mode_share,unique_param_vectors
klms,37.5,25,0.5,0.5,0.5833333333333334,0.5,0.8333333333333334,0.8333333333333334,0.5,0.1,0.1,0.8333333333333334,5.0,5.0,0.8333333333333334,0.35,0.5,0.5,0.01,0.01,0.5,14.0,16,0.5,波比跳,bobi,6,11.0,12,0.3333333333333333,2.0,1.0,0.5,7.0,9,0.3333333333333333,1.25,0.5,0.5,8.0,9,0.5,0.3,0.3,0.6666666666666666,4.75,4,0.3333333333333333,6
lms,100.0,100,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.8333333333333334,0.5,0.2857142857142857,,,,,,,,,,0.01,0.01,0.7142857142857143,20.0,20,0.5714285714285714,波比跳,bobi,7,12.0,12,0.42857142857142855,3.0,1.0,0.2857142857142857,5.0,5,0.5714285714285714,0.5,0.5,0.7142857142857143,9.0,9,0.7142857142857143,0.2,0.3,0.42857142857142855,4.0,4,0.5714285714285714,7
klms,75.0,100,0.5,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.01,0.01,0.6666666666666666,3.5,5.0,0.5,0.15000000000000002,0.5,0.3333333333333333,0.01,0.008,0.3333333333333333,14.0,12,0.5,俯卧撑,fuwo,6,11.0,14,0.3333333333333333,3.0,3.0,0.5,8.0,9,0.5,1.25,0.5,0.5,9.0,9,0.6666666666666666,0.1,0.1,0.8333333333333334,5.25,5,0.3333333333333333,6
lms,50.0,25,0.42857142857142855,0.4166666666666667,0.3333333333333333,0.42857142857142855,1.0,1.0,0.42857142857142855,,,,,,,,,,0.01,0.01,0.5714285714285714,20.0,20,0.5714285714285714,俯卧撑,fuwo,7,10.0,8,0.42857142857142855,3.0,3.0,0.2857142857142857,5.0,5,0.5714285714285714,2.0,2.0,0.42857142857142855,9.0,9,0.5714285714285714,0.3,0.3,0.5714285714285714,4.5,4.5,0.42857142857142855,7
klms,37.5,25,0.5,0.375,0.3333333333333333,0.5,0.9166666666666667,0.8333333333333334,0.3333333333333333,0.07500000000000001,0.1,0.5,1.0,5.0,0.3333333333333333,0.125,0.5,0.3333333333333333,0.011,0.012,0.5,20.0,20,0.6666666666666666,开合跳,kaihe,6,10.0,8,0.3333333333333333,6.0,6.0,0.5,5.0,5,0.6666666666666666,4.0,4.0,0.3333333333333333,9.0,9,0.8333333333333334,0.2,0.2,0.5,4.5,4.5,0.5,6
lms,25.0,25,0.625,0.4166666666666667,0.3333333333333333,0.375,1.0,1.3333333333333333,0.375,,,,,,,,,,0.009000000000000001,0.008,0.5,12.0,12,0.375,开合跳,kaihe,8,11.0,12,0.5,4.5,6.0,0.375,8.0,9,0.5,2.0,2.0,0.375,8.0,9,0.5,0.15000000000000002,0.1,0.5,4.5,4.5,0.375,8
klms,50.0,50,0.6666666666666666,0.5,0.5833333333333334,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.05,0.05,0.6666666666666666,2.0,2.0,0.6666666666666666,0.05,0.05,0.6666666666666666,0.008,0.008,0.6666666666666666,12.0,8,0.3333333333333333,跳绳,tiaosheng,3,8.0,8,0.6666666666666666,5.0,6.0,0.3333333333333333,9.0,9,0.6666666666666666,4.0,4.0,0.6666666666666666,9.0,9,0.6666666666666666,0.2,0.2,0.6666666666666666,4.5,4.5,0.6666666666666666,3
lms,50.0,100,0.4166666666666667,0.45833333333333337,0.5833333333333334,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,0.012,0.012,0.8333333333333334,12.0,12,0.4166666666666667,跳绳,tiaosheng,12,12.0,12,0.5833333333333334,3.0,1.0,0.4166666666666667,7.0,5,0.3333333333333333,0.5,0.5,0.5833333333333334,9.0,9,0.5833333333333334,0.2,0.2,0.5833333333333334,4.5,4.5,0.5,12
klms,37.5,25,0.5,0.41666666666666663,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.030000000000000002,0.05,0.5,3.0,1.0,0.5,0.5,0.5,1.0,0.009000000000000001,0.008,0.5,12.0,12,1.0,弯举,wanju,2,12.0,14,0.5,2.0,3.0,0.5,6.0,7,0.5,0.5,0.5,1.0,9.0,9,1.0,0.1,0.1,1.0,5.5,6,0.5,2
lms,75.0,50,0.5,0.5,0.4166666666666667,0.5,0.41666666666666663,0.3333333333333333,0.5,,,,,,,,,,0.011,0.01,0.5,16.0,12,0.5,弯举,wanju,2,11.0,12,0.5,1.0,1.0,1.0,8.0,7,0.5,0.5,0.5,1.0,8.0,7,0.5,0.1,0.1,1.0,4.5,5,0.5,2
