scenario,motion_type,sample_stem,data_date,subject,lms_hf,lms_acc,lms_fft,lms_hf_vs_acc_delta,klms_hf,klms_acc,klms_fft,klms_vs_lms_delta
跳绳1(0613-LYX),tiaosheng,multi_tiaosheng1,20260613,LYX,2.2273,17.6414780238027,8.6283,87.37464062254408,4.196,4.575954701851378,4.8723,-88.38952992412337
跳绳1(0615-TS),tiaosheng,multi_tiaosheng1_TS,20260615,TS,1.2269,12.312539206638698,7.2736,90.03536167959183,0.8469,9.324117479811369,4.0088,30.97236938625806
跳绳2(0613-LYX),tiaosheng,multi_tiaosheng2,20260613,LYX,1.5647,3.5677855679681776,15.5553,56.14366474128986,1.7511,23.095337666639516,16.7196,-11.912826739950157
跳绳4(0512-LYX),tiaosheng,multi_tiaosheng4,20260512,LYX,1.724,3.773020719641236,10.8219,54.30716849697211,nan,nan,nan,nan
跳绳5(0512-LYX),tiaosheng,multi_tiaosheng5,20260512,LYX,1.4393,17.382538279386896,14.1508,91.71985139991439,nan,nan,nan,nan
跳绳6(0512-LYX),tiaosheng,multi_tiaosheng6,20260512,LYX,2.6149,5.611249603220375,17.2251,53.39897197766301,nan,nan,nan,nan
跳绳7(0512-LYX),tiaosheng,multi_tiaosheng7,20260512,LYX,1.3513,3.201669232338514,7.9607,57.793891188034934,nan,nan,nan,nan
跳绳8(0607-LYX),tiaosheng,multi_tiaosheng8,20260607,LYX,2.7978,23.92602715283134,12.7088,88.30645814230418,nan,nan,nan,nan
跳绳9(0607-LYX),tiaosheng,multi_tiaosheng9,20260607,LYX,1.365,21.08181615766266,22.194,93.52522576901488,nan,nan,nan,nan
跳绳10(0607-LYX),tiaosheng,multi_tiaosheng10,20260607,LYX,1.0061,20.927967717400445,11.2573,95.19255756896317,nan,nan,nan,nan
跳绳11(0607-LYX),tiaosheng,multi_tiaosheng11,20260607,LYX,1.3208,1.3,17.5317,-1.5999999999999945,nan,nan,nan,nan
跳绳12(0607-LYX),tiaosheng,multi_tiaosheng12,20260607,LYX,1.7845,20.1788,5.5241,91.15656035046682,nan,nan,nan,nan
波比跳1(0519-LYX),bobi,multi_bobi1,20260519,LYX,4.7856,34.7867748922906,31.2293,86.24304778233243,4.149555459443933,29.80290778052695,29.9482,13.290800329239108
波比跳1(0613-LYX),bobi,multi_bobi1,20260613,LYX,4.673,25.820763457057932,25.0245,81.90216177081061,2.9468,5.14499723789284,19.6959,36.93986732291889
波比跳2(0519-LYX),bobi,multi_bobi2,20260519,LYX,2.1916,3.782678110663695,29.6079,42.06221264712714,2.2443,14.33835176959628,24.9388,-2.4046358824602914
波比跳2(0613-LYX),bobi,multi_bobi2,20260613,LYX,1.8608,23.32744350634396,25.2858,92.02312932622064,1.7062,19.033404248990433,24.6426,8.30825451418745
波比跳2(0615-TS),bobi,multi_bobi2_TS,20260615,TS,1.4683,16.656890649243564,38.3673,91.18502948167773,0.7735,2.6385572660723726,39.012,47.32002996662808
波比跳3(0519-LYX),bobi,multi_bobi3,20260519,LYX,8.2011,29.416678323347668,29.63,72.1209175629769,3.841,27.373568165163878,28.6481,53.16481935350136
俯卧撑1(0519-LYX),fuwo,multi_fuwo1,20260519,LYX,2.0739,15.904109197373183,1.944,86.95997383907212,4.457576955746761,5.305022287030657,10.8226,-114.93692828712865
俯卧撑1(0613-LYX),fuwo,multi_fuwo1,20260613,LYX,2.671,5.073559489023108,9.0629,47.35451499526441,2.0817,9.0983138967476,7.5583,22.06289779108947
俯卧撑1(0615-TS),fuwo,multi_fuwo1_TS,20260615,TS,2.0475,51.2379702113415,16.325,96.0039400632877,1.709,50.464427411036034,1.5353,16.532356532356523
俯卧撑2(0519-LYX),fuwo,multi_fuwo2,20260519,LYX,1.5699,3.3090238112929153,3.7531,52.55700504051065,2.064847530557388,1.9391854799838841,7.5751,-31.527328527765338
俯卧撑2(0613-LYX),fuwo,multi_fuwo2,20260613,LYX,2.6815,10.012286662938669,11.5545,73.21790625586262,3.281,9.845218160737817,11.866,-22.356889800484797
俯卧撑2(0615-TS),fuwo,multi_fuwo2_TS,20260615,TS,1.0926,11.578250065282946,19.0765,90.56334079986638,1.2098,22.69420007375569,11.4458,-10.726706937580081
开合跳1(0519-LYX),kaihe,multi_kaihe1,20260519,LYX,7.7124,24.27891173367785,25.4051,68.23416105054682,2.2166,8.578476805133857,25.3986,71.25927078471032
开合跳1(0613-LYX),kaihe,multi_kaihe1,20260613,LYX,1.4147,4.6434518559873,29.5529,69.53344098580725,1.7763,32.35319744431747,31.6559,-25.56018943945712
开合跳1(0615-TS),kaihe,multi_kaihe1_TS,20260615,TS,1.8137,2.5545429668095645,33.6106,29.000998473508652,0.6707,2.374341497257466,26.0769,63.02034515079672
开合跳2(0519-LYX),kaihe,multi_kaihe2,20260519,LYX,1.8485,2.710231571232273,36.1211,31.79549601514182,1.689,36.39723674496595,36.3599,8.628617798214767
开合跳2(0613-LYX),kaihe,multi_kaihe2,20260613,LYX,1.2444,25.569748672858726,24.5676,95.1333115709468,1.8525,7.931463208297167,30.3986,-48.86692381870782
开合跳2(0615-TS),kaihe,multi_kaihe2_TS,20260615,TS,1.3406,25.661814228372602,25.9239,94.77589546838125,0.9208,20.793242006052296,1.6822,31.31433686409071
弯举1(0613-LYX),wanju,multi_wanju1,20260613,LYX,1.7759,5.761183833182895,2.1721,69.17473818885477,1.7925,3.445623907184602,5.0672,-0.9347373162903287
弯举2(0613-LYX),wanju,multi_wanju2,20260613,LYX,1.3702,4.8002378343912016,4.8736,71.4555810092735,1.9051,3.3092920478968337,5.9891,-39.03809662822945
平均,,,,,2.32061875,14.930982585425099,17.934978125,71.83284857075716,2.177512171554264,15.211149447258364,17.6486,0.26779010833974054
