scenario,motion_type,sample_stem,data_date,subject,lms_hf,lms_acc,lms_fft,lms_hf_vs_acc_delta,klms_hf,klms_acc,klms_fft,klms_vs_lms_delta
跳绳1(0613-LYX),tiaosheng,multi_tiaosheng1,20260613,LYX,65.3658536585366,48.292682926829265,57.073170731707314,17.07317073170733,62.926829268292686,64.8780487804878,57.073170731707314,-2.439024390243908
跳绳1(0615-TS),tiaosheng,multi_tiaosheng1_TS,20260615,TS,92.06349206349206,72.61904761904762,73.80952380952381,19.444444444444443,93.65079365079364,65.87301587301587,76.19047619047619,1.5873015873015817
跳绳2(0613-LYX),tiaosheng,multi_tiaosheng2,20260613,LYX,72.16981132075472,73.11320754716981,55.660377358490564,-0.9433962264150892,67.45283018867924,53.77358490566038,50.47169811320755,-4.716981132075475
跳绳4(0512-LYX),tiaosheng,multi_tiaosheng4,20260512,LYX,80.0,79.52380952380952,68.57142857142857,0.4761904761904816,nan,nan,nan,nan
跳绳5(0512-LYX),tiaosheng,multi_tiaosheng5,20260512,LYX,81.15942028985508,55.55555555555556,56.52173913043478,25.60386473429952,nan,nan,nan,nan
跳绳6(0512-LYX),tiaosheng,multi_tiaosheng6,20260512,LYX,80.59701492537313,71.64179104477611,56.71641791044776,8.955223880597018,nan,nan,nan,nan
跳绳7(0512-LYX),tiaosheng,multi_tiaosheng7,20260512,LYX,78.60696517412936,80.09950248756219,55.223880597014926,-1.492537313432834,nan,nan,nan,nan
跳绳8(0607-LYX),tiaosheng,multi_tiaosheng8,20260607,LYX,68.96551724137932,51.231527093596064,50.73891625615764,17.733990147783253,nan,nan,nan,nan
跳绳9(0607-LYX),tiaosheng,multi_tiaosheng9,20260607,LYX,59.900990099009896,40.099009900990104,42.07920792079208,19.80198019801979,nan,nan,nan,nan
跳绳10(0607-LYX),tiaosheng,multi_tiaosheng10,20260607,LYX,78.32512315270937,57.635467980295566,57.14285714285714,20.6896551724138,nan,nan,nan,nan
跳绳11(0607-LYX),tiaosheng,multi_tiaosheng11,20260607,LYX,72.54901960784314,71.56862745098039,48.03921568627451,0.9803921568627487,nan,nan,nan,nan
跳绳12(0607-LYX),tiaosheng,multi_tiaosheng12,20260607,LYX,62.4390243902439,43.90243902439025,51.21951219512195,18.536585365853654,nan,nan,nan,nan
