scenario,motion_type,sample_stem,data_date,subject,lms_hf,lms_acc,lms_fft,lms_hf_vs_acc_delta,klms_hf,klms_acc,klms_fft,klms_vs_lms_delta
跳绳1(0613-LYX),tiaosheng,multi_tiaosheng1,20260613,LYX,5.964171168671452,40.97131027675982,18.888333094486036,85.44305483914555,7.163138579870424,5.932661990225167,10.206049410665996,-20.102833692917756
跳绳1(0615-TS),tiaosheng,multi_tiaosheng1_TS,20260615,TS,2.2292889116836494,36.519556479261595,19.412406012650855,93.89562983069196,1.81752341622702,23.900084073869078,10.098946124894983,18.47071024749535
跳绳2(0613-LYX),tiaosheng,multi_tiaosheng2,20260613,LYX,4.909937612016197,4.64954609102969,31.742271387991853,-5.600364334249243,6.797486923437458,49.207897308657344,34.27302702654685,-38.44344797379544
跳绳4(0512-LYX),tiaosheng,multi_tiaosheng4,20260512,LYX,7.179273746611978,7.52564677687056,25.30890021058549,4.602568264605913,nan,nan,nan,nan
跳绳5(0512-LYX),tiaosheng,multi_tiaosheng5,20260512,LYX,4.473130033297526,39.77220949683567,31.227952571658534,88.75312664323211,nan,nan,nan,nan
跳绳6(0512-LYX),tiaosheng,multi_tiaosheng6,20260512,LYX,5.146151927494061,10.20343212035754,38.33767264289691,49.56450077982453,nan,nan,nan,nan
跳绳7(0512-LYX),tiaosheng,multi_tiaosheng7,20260512,LYX,3.443214013149718,2.9224934764265,17.235209132311006,-17.817680036703898,nan,nan,nan,nan
跳绳8(0607-LYX),tiaosheng,multi_tiaosheng8,20260607,LYX,6.278590708228996,49.66055544713852,43.00262539061845,87.35698654254426,nan,nan,nan,nan
跳绳9(0607-LYX),tiaosheng,multi_tiaosheng9,20260607,LYX,5.3378754637164745,45.61892457661779,36.29860590579861,88.29898882260713,nan,nan,nan,nan
跳绳10(0607-LYX),tiaosheng,multi_tiaosheng10,20260607,LYX,4.002813201374995,44.61534774972379,24.77491565716987,91.02816989384604,nan,nan,nan,nan
跳绳11(0607-LYX),tiaosheng,multi_tiaosheng11,20260607,LYX,5.520205617988306,5.795315216540811,33.107104453312864,4.747103276924361,nan,nan,nan,nan
跳绳12(0607-LYX),tiaosheng,multi_tiaosheng12,20260607,LYX,4.557359254012592,36.74906941883426,10.45325961011484,87.59870841334312,nan,nan,nan,nan
波比跳1(0519-LYX),bobi,multi_bobi1,20260519,LYX,8.937599393779628,60.85551597745094,51.75701326659428,85.31341119991274,5.823622155552613,54.99393498282938,53.699113311980824,34.841315895119166
波比跳1(0613-LYX),bobi,multi_bobi1,20260613,LYX,9.043108210849539,48.2399614617648,48.66860729509813,81.25390664331864,6.404281280233865,6.157019680209521,48.71763315398026,29.18053028990321
波比跳2(0519-LYX),bobi,multi_bobi2,20260519,LYX,4.213030067563037,4.758550488521211,57.42971461041164,11.464004054892403,4.272034094951542,34.08571605709229,55.11997933802987,-1.4005128480517943
波比跳2(0613-LYX),bobi,multi_bobi2,20260613,LYX,6.309503716795788,41.127404988160414,48.76447966620519,84.65863888418892,4.9056480111988945,39.814295694299936,45.21116682245885,22.249859396387304
波比跳2(0615-TS),bobi,multi_bobi2_TS,20260615,TS,2.304029148784222,20.09355167137837,40.85324338453293,88.53348981570976,3.779745137685536,3.6289534697842316,43.072891822032936,-64.04936281643884
波比跳3(0519-LYX),bobi,multi_bobi3,20260519,LYX,16.56145432647861,52.27057710288305,54.75661917962756,68.31591452705591,8.272786761196722,49.52357859644923,53.51448593309979,50.04794507708112
波比跳4(0519-LYX),bobi,multi_bobi4,20260519,LYX,41.41110100244309,27.598182715730164,51.37991348496094,-50.05010086711239,nan,nan,nan,nan
俯卧撑1(0519-LYX),fuwo,multi_fuwo1,20260519,LYX,4.856804003766212,40.24344795168102,4.593660028937192,87.9314416359214,4.812657537794842,7.652532574742818,24.279449375366738,0.9089612415311819
俯卧撑1(0613-LYX),fuwo,multi_fuwo1,20260613,LYX,6.680987160969802,8.179270772460773,19.052645191652193,18.318058579691762,5.9824717959923905,18.92217713541338,16.98189079285884,10.455271775675977
俯卧撑1(0615-TS),fuwo,multi_fuwo1_TS,20260615,TS,6.104275612516261,46.77173123665132,35.90599095306338,86.9487926764344,4.251651264977012,68.3198267092237,3.9858332593989525,30.349618286248607
俯卧撑2(0519-LYX),fuwo,multi_fuwo2,20260519,LYX,2.8227835859123984,3.162172791978664,6.107065265657195,10.732784967576038,2.1176472002297735,1.9335118216822655,16.514282059024456,24.9801787569452
俯卧撑2(0613-LYX),fuwo,multi_fuwo2,20260613,LYX,7.63108737784828,21.040668788960012,24.580263631420017,63.73172614241096,7.6418094218729795,18.509149723768385,26.520382131948747,-0.14050479956269424
俯卧撑2(0615-TS),fuwo,multi_fuwo2_TS,20260615,TS,3.277634944956195,24.328334717033588,40.92200090147367,86.52749979364044,3.7691558371226304,43.85846756208412,19.65572046747959,-14.996206118769106
俯卧撑3(0519-LYX),fuwo,multi_fuwo3,20260519,LYX,10.794533188409746,36.07316280096578,28.147655992634597,70.07600013348221,nan,nan,nan,nan
开合跳1(0519-LYX),kaihe,multi_kaihe1,20260519,LYX,16.700717191285257,56.76141599701546,59.16029007821155,70.57734219991377,5.451861420436715,16.87326290545693,59.3109883872869,67.3555251670174
开合跳1(0613-LYX),kaihe,multi_kaihe1,20260613,LYX,5.419790301364126,6.029894378438776,52.58736054116087,10.11798945029969,5.082314380987413,59.82663597088601,56.11932409190143,6.226733906877772
开合跳1(0615-TS),kaihe,multi_kaihe1_TS,20260615,TS,4.4102709257522426,3.3894225547704977,51.927451937450805,-30.118651613530314,3.2223698555686364,2.7832515796124397,51.98283123654843,26.934877475378467
开合跳2(0519-LYX),kaihe,multi_kaihe2,20260519,LYX,3.8123107697721443,3.1464726117550965,59.578182118371096,-21.161415978308632,3.3051916934724974,63.334153510233406,64.4560647426181,13.302144209244426
开合跳2(0613-LYX),kaihe,multi_kaihe2,20260613,LYX,4.82062437662734,59.387004044590185,39.95517439930044,91.88269478452253,4.377929277398077,17.08329515751004,49.25784970802021,9.183356026983915
开合跳2(0615-TS),kaihe,multi_kaihe2_TS,20260615,TS,3.2629736269494347,24.877984717298293,37.48972766132615,86.88409184253334,2.0937212361037423,50.94208197140213,3.837893302975724,35.83395161973254
开合跳3(0519-LYX),kaihe,multi_kaihe3,20260519,LYX,44.234658694219874,61.28178611201512,61.06957894161571,27.817608622952534,nan,nan,nan,nan
开合跳4(0519-LYX),kaihe,multi_kaihe4,20260519,LYX,18.628565386511347,62.00096232698291,61.635714398081724,69.9543931459203,nan,nan,nan,nan
弯举1(0613-LYX),wanju,multi_wanju1,20260613,LYX,6.956834942980891,13.035634180923362,3.716769945422521,46.632171120898136,6.188191375402089,5.195405445718504,11.665333252802396,11.048753835310217
弯举2(0613-LYX),wanju,multi_wanju2,20260613,LYX,5.103500526600368,11.930946846336777,12.675631029709427,57.22468139092143,4.722041669150344,7.715462830655907,14.359426982652135,7.474455140384362
平均,,,,,8.426116392816162,29.488540676726203,35.625111388125404,51.70659072469604,4.88066436203753,28.269276380513315,33.601763597155355,11.29179652599046
