scenario,motion_type,sample_stem,data_date,subject,lms_hf,lms_acc,lms_fft,lms_hf_vs_acc_delta,klms_hf,klms_acc,klms_fft,klms_vs_lms_delta
跳绳1(0613-LYX),tiaosheng,multi_tiaosheng1,20260613,LYX,53.246753246753244,11.267605633802818,28.57142857142857,41.97914761295043,46.75324675324675,53.52112676056338,31.16883116883117,-6.493506493506494
跳绳1(0615-TS),tiaosheng,multi_tiaosheng1_TS,20260615,TS,91.66666666666666,27.27272727272727,34.523809523809526,64.39393939393939,95.23809523809523,12.987012987012985,41.66666666666667,3.5714285714285694
跳绳2(0613-LYX),tiaosheng,multi_tiaosheng2,20260613,LYX,52.112676056338024,55.714285714285715,14.084507042253522,-3.601609657947691,50.70422535211267,10.0,12.676056338028168,-1.408450704225352
跳绳4(0512-LYX),tiaosheng,multi_tiaosheng4,20260512,LYX,60.810810810810814,58.108108108108105,28.37837837837838,2.702702702702709,nan,nan,nan,nan
跳绳5(0512-LYX),tiaosheng,multi_tiaosheng5,20260512,LYX,62.5,9.722222222222223,12.5,52.77777777777778,nan,nan,nan,nan
跳绳6(0512-LYX),tiaosheng,multi_tiaosheng6,20260512,LYX,69.86301369863014,52.054794520547944,12.32876712328767,17.808219178082197,nan,nan,nan,nan
跳绳7(0512-LYX),tiaosheng,multi_tiaosheng7,20260512,LYX,79.74683544303798,83.54430379746836,20.253164556962027,-3.7974683544303787,nan,nan,nan,nan
跳绳8(0607-LYX),tiaosheng,multi_tiaosheng8,20260607,LYX,52.112676056338024,13.043478260869565,15.492957746478872,39.06919779546846,nan,nan,nan,nan
跳绳9(0607-LYX),tiaosheng,multi_tiaosheng9,20260607,LYX,60.86956521739131,7.246376811594203,8.695652173913043,53.62318840579711,nan,nan,nan,nan
跳绳10(0607-LYX),tiaosheng,multi_tiaosheng10,20260607,LYX,76.38888888888889,16.901408450704224,18.055555555555554,59.48748043818466,nan,nan,nan,nan
跳绳11(0607-LYX),tiaosheng,multi_tiaosheng11,20260607,LYX,57.74647887323944,55.714285714285715,15.492957746478872,2.0321931589537243,nan,nan,nan,nan
跳绳12(0607-LYX),tiaosheng,multi_tiaosheng12,20260607,LYX,67.6056338028169,12.857142857142856,35.2112676056338,54.74849094567404,nan,nan,nan,nan
波比跳1(0519-LYX),bobi,multi_bobi1,20260519,LYX,42.1875,6.25,14.0625,35.9375,59.375,9.375,12.5,17.1875
波比跳1(0613-LYX),bobi,multi_bobi1,20260613,LYX,41.333333333333336,6.666666666666667,12.0,34.66666666666667,49.333333333333336,45.33333333333333,9.333333333333334,8.0
波比跳2(0519-LYX),bobi,multi_bobi2,20260519,LYX,60.810810810810814,75.34246575342466,10.81081081081081,-14.531654942613848,70.27027027027027,31.506849315068493,10.81081081081081,9.45945945945946
波比跳2(0613-LYX),bobi,multi_bobi2,20260613,LYX,45.56962025316456,15.492957746478872,16.455696202531644,30.076662506685686,55.69620253164557,9.859154929577464,15.18987341772152,10.12658227848101
波比跳2(0615-TS),bobi,multi_bobi2_TS,20260615,TS,88.0,45.07042253521127,12.0,42.92957746478873,65.33333333333333,71.83098591549296,13.333333333333334,-22.66666666666667
波比跳3(0519-LYX),bobi,multi_bobi3,20260519,LYX,43.05555555555556,8.823529411764707,9.722222222222223,34.23202614379085,41.66666666666667,4.411764705882353,9.722222222222223,-1.3888888888888857
波比跳4(0519-LYX),bobi,multi_bobi4,20260519,LYX,12.307692307692308,10.76923076923077,10.76923076923077,1.5384615384615383,nan,nan,nan,nan
俯卧撑1(0519-LYX),fuwo,multi_fuwo1,20260519,LYX,61.81818181818181,7.547169811320755,61.81818181818181,54.271012006861056,58.18181818181818,43.39622641509434,7.2727272727272725,-3.636363636363633
俯卧撑1(0613-LYX),fuwo,multi_fuwo1,20260613,LYX,49.09090909090909,43.39622641509434,20.0,5.694682675814754,49.09090909090909,13.20754716981132,9.090909090909092,0.0
