sample,ref_order,prewarm_s,best_error,fs_target,max_order,lms_mu_base,smooth_win_len,spec_penalty_weight,spec_penalty_width,hr_range_hz,slew_limit_bpm,slew_step_bpm,runtime_s
multi_bobi1,HF,0,5.6618044704861115,50,12,0.012,9,0.4,0.3,0.5,12,5,118.0
multi_bobi1,HF,2,6.551723090277778,25,8,0.01,7,0.4,0.3,0.3333333333333333,12,7,117.0
multi_bobi1,HF,4,6.253466796874998,25,12,0.01,9,0.4,0.3,0.3333333333333333,8,5,117.0
multi_bobi1,HF,6,5.80630859375,25,8,0.01,7,0.4,0.3,0.3333333333333333,12,7,117.0
multi_bobi1,HF,8,5.713908420138889,25,8,0.01,7,0.4,0.3,0.3333333333333333,12,7,117.0
multi_bobi1,HF,10,5.696864149305555,25,8,0.01,7,0.4,0.3,0.3333333333333333,12,7,121.0
multi_bobi1,HF,12,5.360131293402778,25,16,0.01,9,0.4,0.3,0.3333333333333333,12,5,121.0
multi_bobi1,ACC,0,4.999403211805555,25,16,0.012,7,0.2,0.3,0.5,8,7,125.0
multi_bobi1,ACC,2,4.579360894097222,25,8,0.01,9,0.2,0.3,0.5,10,7,124.0
multi_bobi1,ACC,4,4.897054036458333,25,16,0.008,9,0.2,0.3,0.3333333333333333,12,5,125.0
multi_bobi1,ACC,6,8.785723741319444,50,16,0.01,9,0.4,0.3,0.5833333333333334,12,5,126.0
multi_bobi1,ACC,8,11.47031032986111,50,12,0.008,5,0.2,0.3,0.4166666666666667,10,7,125.0
multi_bobi1,ACC,10,9.459314236111112,50,12,0.01,7,0.2,0.3,0.5833333333333334,12,7,126.0
multi_bobi1,ACC,12,9.187740885416666,50,16,0.01,5,0.4,0.3,0.5,12,5,127.0
