Time(s),SampleIndex,Seq,ValidFlag,InterpFlag,GapLen,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,0,12485,1,0,0,0,808.86841,874.63379,1564.78882,1687.39319,-0.03296,0.01489,1.0004,-2.17,0.525,0.35,6865,74671,110196
0.01,1,12486,1,0,0,0,808.86841,874.63379,1564.48364,1687.92725,-0.03088,0.01306,0.99918,-2.188,0.613,0.263,6865,74671,110196
0.02,2,12487,1,0,0,0,808.86841,874.63379,1564.71252,1687.69836,-0.03394,0.01123,1.00101,-2.118,0.648,0.105,6866,74671,110196
0.03,3,12488,1,0,0,0,808.86841,874.63379,1564.86511,1687.77466,-0.03504,0.01001,1.00235,-1.89,0.42,-0.053,6866,74671,110196
0.04,4,12489,1,0,0,0,808.86841,874.63379,1564.63623,1687.69836,-0.03516,0.00781,1.00198,-1.61,0.368,-0.14,6867,74671,110194
0.05,5,12490,1,0,0,0,808.9447,874.63379,1564.86511,1687.46948,-0.0343,0.00757,1.00186,-1.225,0.49,-0.175,6867,74671,110194
0.06,6,12491,1,0,0,0,808.9447,874.63379,1564.63623,1687.69836,-0.03711,0.00891,1.00443,-0.805,0.42,-0.385,6868,74670,110195
0.07,7,12492,1,0,0,0,808.9447,874.63379,1564.63623,1687.69836,-0.0365,0.01062,1.00125,-0.578,0.473,-0.7,6868,74670,110195
0.08,8,12493,1,0,0,0,808.9447,874.63379,1564.55994,1687.46948,-0.0354,0.01074,0.99966,-0.438,0.368,-0.91,6868,74665,110199
0.09,9,12494,1,0,0,0,808.9447,874.63379,1564.78882,1687.54578,-0.03601,0.01294,0.9982,-0.35,0.455,-0.788,6868,74665,110199
0.1,10,12495,1,0,0,0,808.9447,874.40491,1564.86511,1687.77466,-0.03516,0.01624,0.99796,-0.315,0.42,-0.84,6870,74664,110198
0.11,11,12496,1,0,0,0,808.9447,874.40491,1564.40735,1687.2406,-0.03174,0.01794,0.99551,-0.42,0.368,-0.98,6870,74664,110198
0.12,12,12497,1,0,0,0,808.9447,874.40491,1564.71252,1687.2406,-0.03088,0.02063,0.99649,-0.543,0.42,-1.085,6872,74664,110194
0.13,13,12498,1,0,0,0,808.9447,874.40491,1564.71252,1687.77466,-0.0282,0.02527,1.00015,-1.103,0.35,-0.963,6872,74664,110194
0.14,14,12499,1,0,0,0,808.9447,874.40491,1564.78882,1687.16431,-0.02527,0.02551,1.00003,-1.33,0.508,-0.665,6874,74664,110200
0.15,15,12500,1,0,0,0,809.09729,874.40491,1564.94141,1687.39319,-0.02258,0.02637,1.00015,-1.558,0.595,-0.56,6874,74664,110200
0.16,16,12501,1,0,0,0,809.09729,874.40491,1564.71252,1687.46948,-0.02332,0.02747,1.00186,-1.803,0.473,-0.315,6875,74663,110204
0.17,17,12502,1,0,0,0,809.09729,874.40491,1564.78882,1687.39319,-0.02319,0.02832,1.00052,-2.083,0.56,-0.263,6875,74663,110204
0.18,18,12503,1,0,0,0,809.09729,874.40491,1564.94141,1687.2406,-0.02417,0.0271,0.99771,-3.045,0.683,0.035,6874,74663,110207
0.19,19,12504,1,0,0,0,809.09729,874.40491,1564.86511,1687.39319,-0.02722,0.02564,0.99991,-3.063,0.718,0.245,6874,74663,110207
0.2,20,12505,1,0,0,0,809.09729,874.25232,1564.78882,1687.31689,-0.02942,0.02222,1.00052,-3.378,0.56,0.613,6876,74667,110215
0.21,21,12506,1,0,0,0,809.09729,874.25232,1564.71252,1687.31689,-0.03064,0.01819,1.00064,-3.483,0.595,0.525,6876,74667,110215
0.22,22,12507,1,0,0,0,809.09729,874.25232,1564.78882,1687.31689,-0.03064,0.01404,0.99918,-3.745,0.735,0.473,6879,74673,110223
0.23,23,12508,1,0,0,0,809.09729,874.25232,1564.78882,1687.2406,-0.03162,0.01343,1.00052,-3.325,0.683,0.35,6879,74673,110223
0.24,24,12509,1,0,0,0,809.09729,874.25232,1564.78882,1687.31689,-0.03223,0.0116,0.99979,-3.185,0.77,0.315,6881,74672,110226
0.25,25,12510,1,0,0,0,808.9447,874.25232,1564.78882,1687.54578,-0.03027,0.0116,0.9982,-3.378,0.578,0.158,6881,74672,110226
0.26,26,12511,1,0,0,0,808.9447,874.25232,1564.78882,1687.39319,-0.03223,0.01111,1.00052,-3.465,0.525,0.21,6883,74672,110229
0.27,27,12512,1,0,0,0,808.9447,874.25232,1564.94141,1687.62207,-0.03467,0.01172,1.00162,-2.993,0.648,0.053,6883,74672,110229
0.28,28,12513,1,0,0,0,808.9447,874.25232,1564.63623,1687.62207,-0.03491,0.01282,1.00101,-2.958,0.753,-0.123,6885,74672,110232
0.29,29,12514,1,0,0,0,808.9447,874.25232,1564.71252,1687.46948,-0.03455,0.01196,1.00247,-3.08,0.648,-0.403,6885,74672,110232
0.3,30,12515,1,0,0,0,808.9447,874.5575,1564.86511,1687.31689,-0.03552,0.00684,1.00064,-2.835,0.683,-0.49,6886,74672,110231
0.31,31,12516,1,0,0,0,808.9447,874.5575,1564.48364,1687.39319,-0.03613,0.00427,1.00089,-2.503,0.823,-0.56,6886,74672,110231
0.32,32,12517,1,0,0,0,808.9447,874.5575,1564.78882,1688.76648,-0.03516,0.00842,1.00443,-1.89,0.788,-0.77,6887,74671,110237
0.33,33,12518,1,0,0,0,808.9447,874.5575,1565.0177,1687.31689,-0.03162,0.01025,1.0015,-1.488,0.543,-0.875,6887,74671,110237
0.34,34,12519,1,0,0,0,808.9447,874.5575,1564.78882,1687.31689,-0.03259,0.00867,0.9982,-1.505,0.718,-1.155,6893,74668,110236
0.35,35,12520,1,0,0,0,808.9447,874.5575,1564.94141,1687.16431,-0.03479,0.01111,1.00003,-1.365,0.7,-1.12,6893,74668,110236
0.36,36,12521,1,0,0,0,808.9447,874.5575,1564.63623,1687.2406,-0.03211,0.0144,1.00003,-1.348,0.613,-1.313,6895,74666,110233
0.37,37,12522,1,0,0,0,808.9447,874.5575,1564.78882,1687.46948,-0.03394,0.01563,1.00003,-1.383,0.77,-1.488,6895,74666,110233
0.38,38,12523,1,0,0,0,808.9447,874.5575,1564.71252,1687.46948,-0.03259,0.01453,0.99942,-1.663,0.805,-1.505,6896,74670,110241
0.39,39,12524,1,0,0,0,808.9447,874.5575,1564.94141,1687.2406,-0.03186,0.01318,1.00052,-1.628,0.508,-1.365,6896,74670,110241
0.4,40,12525,1,0,0,0,808.9447,874.32861,1564.78882,1687.69836,-0.03125,0.01282,1.00064,-1.348,0.595,-1.47,6898,74672,110244
0.41,41,12526,1,0,0,0,808.9447,874.32861,1564.55994,1687.39319,-0.03162,0.01514,0.99905,-1.313,0.63,-1.558,6898,74672,110244
0.42,42,12527,1,0,0,0,808.9447,874.32861,1564.71252,1687.08801,-0.03027,0.01746,0.99698,-1.505,0.683,-1.54,6899,74671,110247
0.43,43,12528,1,0,0,0,808.9447,874.32861,1564.63623,1687.46948,-0.02942,0.02063,0.99796,-1.715,0.683,-1.523,6899,74671,110247
0.44,44,12529,1,0,0,0,808.9447,874.32861,1564.78882,1687.31689,-0.02649,0.02539,0.99991,-1.873,0.77,-0.998,6901,74672,110249
0.45,45,12530,1,0,0,0,808.9447,874.32861,1564.78882,1687.39319,-0.02649,0.02808,1.00186,-2.223,0.718,-0.875,6901,74672,110249
