case_name,trial_idx,mode,hr_range_rest_bpm,slew_limit_rest_bpm,slew_step_rest_bpm,smooth_win_len,time_bias_s,objective,rest_all_mae,pre_rest_mae,post_rest_mae,pure_fft_rest_all_mae,pure_fft_pre_rest_mae,pure_fft_post_rest_mae,n_rest_all,n_pre_rest,n_post_rest,passed
multi_tiaosheng3,1,raw_peak,25.0,3.0,1.0,9,-1.5,4.180643453226462,3.1835161549176356,1.7070007324218752,4.180643453226462,3.174289910368217,1.7061204176682696,4.1657809963474035,129,52,77,False
multi_tiaosheng3,2,post_motion_slew,60.0,6.0,15.0,15,1.5,18.8892774705763,12.02225086300872,1.8537691556490388,18.8892774705763,12.02225086300872,1.8537691556490388,18.8892774705763,129,52,77,False
multi_tiaosheng3,3,post_recovery_blend,10.0,4.0,2.0,21,20.0,31.718769023944805,21.72625022710756,6.929635854867789,31.718769023944805,21.72625022710756,6.929635854867789,31.718769023944805,129,52,77,False
multi_tiaosheng3,4,post_recovery_blend,10.0,0.5,5.0,15,20.0,30.784274807224033,20.967762082122093,6.431772085336539,30.784274807224033,20.967762082122093,6.431772085336539,30.784274807224033,129,52,77,False
multi_tiaosheng3,5,current,40.0,4.0,0.5,21,20.0,16.970270330255683,12.887752089389537,6.842484694260818,16.970270330255683,12.889171511627909,6.841604379507213,16.973242821631498,129,52,77,False
multi_tiaosheng3,6,raw_peak,100.0,30.0,0.5,5,-1.5,4.460775796469156,3.661948507146318,2.4790696364182696,4.460775796469156,3.6583999515503876,2.4790696364182696,4.454830813717534,129,52,77,False
multi_tiaosheng3,7,fallback_slew_to_raw_peak,30.0,0.5,3.0,7,-1.5,4.703289874188312,3.566213208575582,1.882465069110577,4.703289874188312,3.585237251695737,1.9388709435096156,4.697069044237013,129,52,77,False
multi_tiaosheng3,8,all_peaks_with_raw_fallback,25.0,20.0,8.0,9,-1.5,4.180643453226462,3.1835161549176356,1.7070007324218752,4.180643453226462,3.185645288275194,1.7061204176682696,4.184804941152598,129,52,77,False
multi_tiaosheng3,9,all_peaks_near_prev,70.0,10.0,2.0,41,-1.5,6.943611442268672,4.747624833454459,1.495875431941106,6.943611442268672,4.744785988977715,1.4897132286658656,6.943016943993509,129,52,77,False
multi_tiaosheng3,10,current,20.0,2.0,2.0,3,20.0,19.18425641741071,14.320298305777614,7.117898794320914,19.18425641741071,14.315957712572672,7.115257850060098,19.178768009334412,129,52,77,False
multi_tiaosheng3,11,fallback_slew_to_raw_peak,60.0,10.0,8.0,11,-1.5,6.252332018567371,4.428410019985466,1.7276024451622598,6.252332018567371,4.5003614795300395,1.730243389423077,6.371090579342534,129,52,77,False
multi_tiaosheng3,12,all_peaks_with_raw_fallback,25.0,25.0,10.0,9,-1.5,4.180643453226462,3.1835161549176356,1.7070007324218752,4.180643453226462,3.185645288275194,1.7061204176682696,4.184804941152598,129,52,77,False
multi_tiaosheng3,13,all_peaks_with_raw_fallback,20.0,15.0,5.0,9,-1.5,4.282897156554384,3.2445513111676356,1.7070007324218752,4.282897156554384,3.246680444525194,1.7061204176682696,4.2870586444805205,129,52,77,False
